findling-rss timestamp,anon,file,slab,current,peak
findling-rss 1788459140,30781440,1413120,2802464,37715968,40615936
findling-rss 1788459145,30781440,1413120,2802464,37715968,40615936
findling-rss 1788459150,30781440,1413120,2802464,37715968,40615936
findling-rss 1788459155,30838784,1413120,2798280,37769216,42975232
findling-rss 1788459160,30838784,1413120,2798280,37769216,42975232
findling-rss 1788459165,30838784,1413120,2798280,37769216,42975232
findling-rss 1788459170,30838784,1413120,2798280,37769216,42975232
findling-rss 1788459175,30838784,1413120,2798280,37769216,42975232
findling-rss 1788459180,30838784,1413120,2798280,37769216,42975232
findling-rss 1788459185,30851072,1413120,2799096,37781504,42975232
findling-rss 1788459190,30851072,1413120,2798280,37781504,42975232
findling-rss 1788459195,30851072,1413120,2798280,37781504,42975232
findling-rss 1788459200,30851072,1413120,2798280,37781504,42975232
findling-rss 1788459205,30851072,1413120,2798280,37781504,42975232
findling-rss 1788459210,30851072,1413120,2798280,37781504,42975232
findling-rss 1788459215,30855168,1413120,2798280,37785600,42975232
findling-rss 1788459220,30855168,1413120,2798280,37785600,42975232
findling-rss 1788459225,30855168,1413120,2798280,37785600,42975232
findling-rss 1788459230,30855168,1413120,2798280,37785600,42975232
findling-rss 1788459235,30855168,1413120,2798280,37785600,42975232
findling-rss 1788459240,30855168,1413120,2798280,37785600,42975232
findling-rss 1788459245,30904320,1413120,2798280,37834752,42975232
findling-rss 1788459250,29941760,1413120,2799816,36876288,42975232
findling-rss 1788459255,29949952,1413120,2802888,36884480,42975232
findling-rss 1788459261,29949952,1413120,2799816,36884480,42975232
findling-rss 1788459266,29949952,1413120,2799816,36884480,42975232
findling-rss 1788459271,29949952,1413120,2798280,36880384,42975232
findling-rss 1788459276,29954048,1413120,2799096,36884480,42975232
findling-rss 1788459281,29954048,1413120,2798280,36884480,42975232
findling-rss 1788459286,29954048,1413120,2798280,36884480,42975232
findling-rss 1788459291,29954048,1413120,2798280,36884480,42975232
findling-rss 1788459296,29954048,1413120,2798280,36884480,42975232
findling-rss 1788459301,29954048,1413120,2798280,36884480,42975232
findling-rss 1788459306,29962240,1413120,2799096,36892672,42975232
findling-rss 1788459311,29962240,1413120,2798280,36892672,42975232
findling-rss 1788459316,29962240,1413120,2798280,36892672,42975232
findling-rss 1788459321,29962240,1413120,2798280,36892672,42975232
findling-rss 1788459326,29962240,1413120,2798280,36892672,42975232
findling-rss 1788459331,29962240,1413120,2798280,36892672,42975232
findling-rss 1788459336,29966336,1413120,2798280,36896768,42975232
findling-rss 1788459341,29966336,1413120,2798280,36896768,42975232
findling-rss 1788459346,29966336,1413120,2798280,36896768,42975232
findling-rss 1788459351,29966336,1413120,2798280,36896768,42975232
findling-rss 1788459356,29966336,1413120,2798280,36896768,42975232
findling-rss 1788459361,29966336,1413120,2798280,36896768,42975232
findling-rss 1788459366,29982720,1413120,2799096,36913152,42975232
findling-rss 1788459371,29982720,1413120,2798280,36913152,42975232
findling-rss 1788459376,29913088,1413120,2798280,36843520,42975232
findling-rss 1788459381,29913088,1413120,2798280,36843520,42975232
findling-rss 1788459386,29913088,1413120,2798280,36843520,42975232
findling-rss 1788459391,29913088,1413120,2798280,36843520,42975232
findling-rss 1788459396,29937664,1413120,2799096,36868096,42975232
findling-rss 1788459401,29937664,1413120,2798280,36868096,42975232
findling-rss 1788459406,29937664,1413120,2798280,36868096,42975232
findling-rss 1788459411,29937664,1413120,2798280,36868096,42975232
findling-rss 1788459416,29937664,1413120,2798280,36868096,42975232
findling-rss 1788459421,29937664,1413120,2798280,36868096,42975232
findling-rss 1788459426,29941760,1413120,2798280,36872192,42975232
findling-rss 1788459431,29941760,1413120,2798280,36872192,42975232
findling-rss 1788459436,29941760,1413120,2798280,36872192,42975232
findling-rss 1788459441,29941760,1413120,2798280,36872192,42975232
findling-rss 1788459446,29941760,1413120,2798280,36872192,42975232
findling-rss 1788459451,29941760,1413120,2798280,36872192,42975232
findling-rss 1788459456,29966336,1413120,2799096,36896768,42975232
findling-rss 1788459461,29966336,1413120,2798280,36896768,42975232
findling-rss 1788459466,29966336,1413120,2798280,36896768,42975232
findling-rss 1788459471,29966336,1413120,2798280,36896768,42975232
findling-rss 1788459476,29966336,1413120,2798280,36896768,42975232
findling-rss 1788459481,29966336,1413120,2798280,36896768,42975232
findling-rss 1788459486,29978624,1413120,2798280,36909056,42975232
findling-rss 1788459491,29978624,1413120,2798280,36909056,42975232
findling-rss 1788459496,30011392,1413120,2798280,36941824,42975232
findling-rss 1788459501,30011392,1413120,2798280,36941824,42975232
findling-rss 1788459506,29892608,1413120,2798280,36823040,42975232
findling-rss 1788459511,29892608,1413120,2798280,36823040,42975232
findling-rss 1788459516,29917184,1413120,2798280,36851712,42975232
findling-rss 1788459521,29917184,1413120,2798280,36851712,42975232
findling-rss 1788459526,29917184,1413120,2798280,36851712,42975232
findling-rss 1788459531,29917184,1413120,2798280,36851712,42975232
findling-rss 1788459536,29917184,1413120,2798280,36851712,42975232
findling-rss 1788459541,29917184,1413120,2798280,36851712,42975232
findling-rss 1788459546,29929472,1413120,2798280,36859904,42975232
findling-rss 1788459552,29929472,1413120,2798280,36859904,42975232
findling-rss 1788459557,29929472,1413120,2798280,36859904,42975232
findling-rss 1788459562,29929472,1413120,2798280,36859904,42975232
findling-rss 1788459567,29929472,1413120,2798280,36859904,42975232
findling-rss 1788459572,29929472,1413120,2798280,36859904,42975232
