findling-rss timestamp,anon,file,slab,current,peak
findling-rss 1788459140,57585664,40960,2142288,61050880,66732032
findling-rss 1788459145,57585664,40960,2141472,61050880,66732032
findling-rss 1788459150,57798656,40960,2143048,61276160,66732032
findling-rss 1788459155,57798656,40960,2141512,61272064,66732032
findling-rss 1788459160,57798656,40960,2143904,61284352,66732032
findling-rss 1788459165,57806848,40960,2143088,61280256,66732032
findling-rss 1788459170,57815040,40960,2144664,61296640,66732032
findling-rss 1788459175,57823232,40960,2144664,61304832,66732032
findling-rss 1788459180,57856000,40960,2147056,61341696,66732032
findling-rss 1788459185,57860096,40960,2136784,61337600,66732032
findling-rss 1788459190,57860096,40960,2139848,61329408,66732032
findling-rss 1788459195,57860096,40960,2138360,61329408,66732032
findling-rss 1788459200,57864192,40960,2140976,61333504,66732032
findling-rss 1788459205,57864192,40960,2139664,61329408,66732032
findling-rss 1788459210,57868288,40960,2142056,61337600,66732032
findling-rss 1788459215,57868288,40960,2141240,61337600,66732032
findling-rss 1788459220,57872384,40960,2143360,61345792,66732032
findling-rss 1788459225,57872384,40960,2142816,61345792,66732032
findling-rss 1788459230,57868288,40960,2145208,61345792,66732032
findling-rss 1788459235,57868288,40960,2144392,61345792,66732032
findling-rss 1788459240,57876480,40960,2145968,61353984,66732032
findling-rss 1788459245,57876480,40960,2145968,61353984,66732032
findling-rss 1788459250,57896960,40960,2146728,61378560,66732032
findling-rss 1788459255,57892864,40960,2136832,61366272,66732032
findling-rss 1788459260,57892864,40960,2138408,61358080,66732032
findling-rss 1788459265,57892864,40960,2138408,61358080,66732032
findling-rss 1788459270,55803904,40960,2140800,59273216,66732032
findling-rss 1788459275,55803904,40960,2139984,59269120,66732032
findling-rss 1788459280,55803904,40960,2141560,59277312,66732032
findling-rss 1788459285,55803904,40960,2141560,59277312,66732032
findling-rss 1788459290,55803904,40960,2143952,59277312,66732032
findling-rss 1788459295,55803904,40960,2143136,59277312,66732032
findling-rss 1788459300,55803904,40960,2144712,59281408,66732032
findling-rss 1788459305,55803904,40960,2144712,59281408,66732032
findling-rss 1788459310,55808000,40960,2146512,59285504,66732032
findling-rss 1788459316,55808000,40960,2144336,59281408,66732032
findling-rss 1788459321,55812096,40960,2146728,59297792,66732032
findling-rss 1788459326,55803904,40960,2140880,59281408,66732032
findling-rss 1788459331,55816192,40960,2138952,59285504,66732032
findling-rss 1788459336,55816192,40960,2138408,59285504,66732032
findling-rss 1788459341,55824384,40960,2140800,59301888,66732032
findling-rss 1788459346,55824384,40960,2139984,59297792,66732032
findling-rss 1788459351,55820288,40960,2142104,59301888,66732032
findling-rss 1788459356,55820288,40960,2141560,59301888,66732032
findling-rss 1788459361,55820288,40960,2143952,59301888,66732032
findling-rss 1788459366,55820288,40960,2143136,59297792,66732032
findling-rss 1788459371,55816192,40960,2145256,59301888,66732032
findling-rss 1788459376,55824384,40960,2144712,59310080,66732032
findling-rss 1788459381,55836672,40960,2146784,59326464,66732032
findling-rss 1788459386,55836672,40960,2145968,59322368,66732032
findling-rss 1788459391,55832576,40960,2145640,59314176,66732032
findling-rss 1788459396,55832576,40960,2145640,59314176,66732032
findling-rss 1788459401,55832576,40960,2138632,59314176,66732032
findling-rss 1788459406,55832576,40960,2138088,59314176,66732032
findling-rss 1788459411,57466880,45056,2229176,63774720,66732032
findling-rss 1788459416,55832576,40960,2139664,59301888,66732032
findling-rss 1788459421,55832576,40960,2139664,59301888,66732032
findling-rss 1788459426,55832576,40960,2141192,59305984,66732032
findling-rss 1788459431,55836672,40960,2141512,59310080,66732032
findling-rss 1788459436,55836672,40960,2142816,59310080,66732032
findling-rss 1788459441,55836672,40960,2143088,59305984,66732032
findling-rss 1788459446,55836672,40960,2144392,59310080,66732032
findling-rss 1788459451,55832576,40960,2144664,59314176,66732032
findling-rss 1788459456,55832576,40960,2145968,59314176,66732032
findling-rss 1788459461,55832576,40960,2146240,59314176,66732032
findling-rss 1788459466,55832576,40960,2145640,59318272,66732032
findling-rss 1788459471,55832576,40960,2145912,59310080,66732032
findling-rss 1788459476,55836672,40960,2138088,59310080,66732032
findling-rss 1788459481,55840768,40960,2138360,59314176,66732032
findling-rss 1788459486,55840768,40960,2139664,59314176,66732032
findling-rss 1788459491,55840768,40960,2139664,59314176,66732032
findling-rss 1788459496,55840768,40960,2141240,59318272,66732032
findling-rss 1788459501,55840768,40960,2141240,59322368,66732032
findling-rss 1788459506,55848960,40960,2143040,59330560,66732032
findling-rss 1788459511,55910400,40960,2142816,59392000,66732032
findling-rss 1788459516,55910400,40960,2144392,59396096,66732032
findling-rss 1788459521,55910400,40960,2144664,59387904,66732032
findling-rss 1788459526,55910400,40960,2145968,59387904,66732032
findling-rss 1788459531,55910400,40960,2145968,59392000,66732032
findling-rss 1788459536,55910400,40960,2145640,59392000,66732032
findling-rss 1788459541,55910400,40960,2145912,59392000,66732032
findling-rss 1788459546,55918592,40960,2138360,59392000,66732032
findling-rss 1788459551,55918592,40960,2138360,59392000,66732032
findling-rss 1788459556,55918592,40960,2139664,59392000,66732032
findling-rss 1788459561,55922688,40960,2139936,59396096,66732032
findling-rss 1788459566,55922688,40960,2141240,59408384,66732032
findling-rss 1788459571,55930880,40960,2141240,59408384,66732032
findling-rss 1788459576,55930880,40960,2143088,59408384,66732032
findling-rss 1788459581,55926784,40960,2142816,59408384,66732032
findling-rss 1788459586,55930880,40960,2144392,59416576,66732032
findling-rss 1788459591,55930880,40960,2144392,59408384,66732032
findling-rss 1788459596,55930880,40960,2145968,59408384,66732032
findling-rss 1788459602,55934976,40960,2145968,59412480,66732032
findling-rss 1788459607,55939072,40960,2145640,59416576,66732032
findling-rss 1788459612,55934976,40960,2145912,59416576,66732032
findling-rss 1788459617,55934976,40960,2138088,59408384,66732032
findling-rss 1788459622,55934976,40960,2138088,59416576,66732032
findling-rss 1788459627,55934976,40960,2139664,59416576,66732032
findling-rss 1788459632,56000512,40960,2139936,59473920,66732032
findling-rss 1788459637,56000512,40960,2141240,59478016,66732032
findling-rss 1788459642,56000512,40960,2141512,59482112,66732032
findling-rss 1788459647,56000512,40960,2142816,59482112,66732032
findling-rss 1788459652,56004608,40960,2143088,59486208,66732032
findling-rss 1788459657,56004608,40960,2144936,59490304,66732032
findling-rss 1788459662,56000512,40960,2144392,59486208,66732032
findling-rss 1788459667,56000512,40960,2145968,59486208,66732032
findling-rss 1788459672,56004608,40960,2145968,59486208,66732032
findling-rss 1788459677,56004608,40960,2148088,59486208,66732032
findling-rss 1788459682,56008704,40960,2145640,59486208,66732032
findling-rss 1788459687,56008704,40960,2146944,59490304,66732032
findling-rss 1788459692,56008704,40960,2137816,59486208,66732032
findling-rss 1788459697,56008704,40960,2139936,59486208,66732032
findling-rss 1788459702,56008704,40960,2139664,59486208,66732032
findling-rss 1788459707,56008704,40960,2141512,59490304,66732032
findling-rss 1788459712,56012800,40960,2140968,59490304,66732032
findling-rss 1788459717,56012800,40960,2142544,59490304,66732032
findling-rss 1788459722,56012800,40960,2142816,59490304,66732032
findling-rss 1788459727,56012800,40960,2144120,59490304,66732032
findling-rss 1788459732,56012800,40960,2144120,59490304,66732032
findling-rss 1788459737,56020992,40960,2146368,59502592,66732032
findling-rss 1788459742,56020992,40960,2145968,59506688,66732032
findling-rss 1788459747,56020992,40960,2147816,59506688,66732032
findling-rss 1788459752,56020992,40960,2145640,59502592,66732032
findling-rss 1788459757,56020992,40960,2146944,59502592,66732032
findling-rss summary samples=124 max_anon=57896960 peak=66732032 events=[low=0 high=0 max=0 oom=0 oom_kill=0 oom_group_kill=0] oom_killed=false
