findling-rss timestamp,anon,file,slab,current,peak
findling-rss 1788463225,197062656,9179136,4499344,212123648,212729856
findling-rss 1788463230,207659008,10006528,4547576,223588352,224436224
findling-rss 1788463235,209588224,16740352,4793664,232497152,241856512
findling-rss 1788463240,209645568,17498112,4879280,233414656,241856512
findling-rss 1788463245,209678336,18169856,4919976,234143744,241856512
findling-rss 1788463250,209772544,18472960,4879752,234500096,243884032
findling-rss 1788463255,209788928,18513920,4902944,234582016,243884032
findling-rss 1788463260,209874944,18599936,4967752,234835968,243884032
findling-rss 1788463265,209874944,18120704,4973792,234344448,262787072
findling-rss 1788463270,209874944,18522112,4997272,234770432,262787072
findling-rss 1788463275,209874944,18538496,5014416,234803200,262787072
findling-rss 1788463280,209891328,18554880,5030432,234852352,262787072
findling-rss 1788463285,209891328,18554880,5046032,234868736,262787072
findling-rss 1788463290,209891328,18554880,5062632,234885120,262787072
findling-rss 1788463295,274288640,17203200,5357904,296476672,338587648
findling-rss 1788463300,244846592,16859136,5222864,268382208,355700736
findling-rss 1788463305,244846592,16859136,5222864,268382208,355700736
findling-rss 1788463310,244846592,16859136,5222864,268382208,355700736
findling-rss 1788463315,244846592,16859136,5222864,268382208,355700736
findling-rss 1788463320,244846592,16859136,5222864,268382208,355700736
findling-rss 1788463325,244846592,16859136,5222864,268382208,355700736
findling-rss 1788463330,244846592,16859136,5222864,268382208,355700736
findling-rss 1788463335,244846592,16859136,5222864,268382208,355700736
findling-rss 1788463340,244846592,16859136,5222864,268374016,355700736
findling-rss 1788463345,243822592,16859136,5222864,267358208,355700736
findling-rss 1788463350,243822592,17887232,5253672,268419072,355700736
findling-rss 1788463355,243822592,17887232,5253672,268419072,355700736
findling-rss 1788463360,243822592,17887232,5253672,268419072,355700736
findling-rss 1788463365,243822592,17399808,5241136,267915264,355700736
findling-rss 1788463371,243822592,17399808,5239600,267915264,355700736
findling-rss 1788463376,243822592,17399808,5239600,267915264,355700736
findling-rss 1788463381,243822592,17399808,5239600,267915264,355700736
findling-rss 1788463386,243822592,17399808,5239600,267915264,355700736
findling-rss 1788463391,243822592,17399808,5239600,267915264,355700736
findling-rss 1788463396,243822592,17399808,5239600,267907072,355700736
findling-rss 1788463401,243822592,17399808,5236904,267907072,355700736
findling-rss 1788463406,243822592,17399808,5239600,267915264,355700736
findling-rss 1788463411,243822592,17399808,5239600,267915264,355700736
findling-rss 1788463416,243822592,17399808,5239600,267915264,355700736
findling-rss summary samples=39 max_anon=274288640 peak=355700736 events=[low=0 high=0 max=0 oom=0 oom_kill=0 oom_group_kill=0] oom_killed=false
