findling-rss timestamp,anon,file,slab,current,peak
findling-rss 1788461886,295927808,53940224,5298280,356712448,476631040
findling-rss 1788461891,295927808,53940224,5298280,356712448,476631040
findling-rss 1788461896,295927808,53940224,5298280,356712448,476631040
findling-rss 1788461901,295927808,53940224,5298280,356712448,476631040
findling-rss 1788461906,295927808,53940224,5298280,356712448,476631040
findling-rss 1788461911,295927808,53940224,5298280,356712448,476631040
findling-rss 1788461916,295927808,53940224,5298280,356712448,476631040
findling-rss 1788461921,295927808,53940224,5298280,356708352,476631040
findling-rss 1788461926,295927808,53940224,5295584,356708352,476631040
findling-rss 1788461931,295927808,53940224,5295584,356708352,476631040
findling-rss 1788461936,295927808,53940224,5295584,356708352,476631040
findling-rss 1788461941,295927808,53940224,5295584,356708352,476631040
findling-rss 1788461946,295927808,53940224,5295584,356708352,476631040
findling-rss 1788461952,295927808,53940224,5295584,356708352,476631040
findling-rss 1788461957,295927808,53940224,5295584,356708352,476631040
findling-rss 1788461962,295927808,53940224,5295584,356708352,476631040
findling-rss 1788461967,295927808,53940224,5295584,356708352,476631040
findling-rss 1788461972,295927808,53940224,5295584,356708352,476631040
findling-rss 1788461977,295927808,53940224,5295584,356708352,476631040
findling-rss 1788461982,295927808,53940224,5295584,356708352,476631040
findling-rss 1788461987,295927808,53940224,5295584,356708352,476631040
findling-rss 1788461992,295927808,53940224,5300568,356712448,476631040
findling-rss 1788461997,295927808,53940224,5313368,356724736,476631040
findling-rss 1788462002,297349120,54190080,5504184,358608896,476631040
findling-rss 1788462007,186634240,55287808,5474784,247992320,476631040
findling-rss 1788462012,247783424,55996416,5688296,310939648,476631040
findling-rss 1788462017,245641216,56799232,5756120,309661696,476631040
findling-rss 1788462022,249987072,57393152,5707656,314925056,476631040
findling-rss 1788462027,239992832,58044416,5848544,305364992,476631040
findling-rss 1788462032,249335808,59101184,5966912,316018688,476631040
findling-rss 1788462037,249483264,59973632,6034008,316985344,476631040
findling-rss 1788462042,193363968,61157376,5984320,261627904,476631040
findling-rss 1788462047,294744064,61181952,6206528,363827200,476631040
findling-rss 1788462052,358936576,61808640,6225440,428826624,476631040
findling-rss 1788462057,381132800,62803968,6253464,452153344,476631040
findling-rss 1788462062,381186048,62803968,6253464,452251648,476631040
findling-rss 1788462067,380264448,61407232,6234944,449830912,476631040
findling-rss 1788462072,302624768,61448192,6237856,372269056,476631040
findling-rss 1788462077,380968960,61468672,6245496,450572288,476631040
findling-rss 1788462082,380653568,61505536,6261664,450449408,476631040
findling-rss 1788462087,365621248,61530112,6274800,435466240,476631040
findling-rss 1788462092,301281280,61206528,6148968,370212864,476631040
findling-rss 1788462097,380956672,61558784,6313056,450740224,476631040
findling-rss 1788462102,382025728,61419520,6216512,451731456,476631040
findling-rss 1788462107,352739328,61448192,6232776,417853440,476631040
findling-rss 1788462112,381071360,61476864,6226088,450756608,476631040
findling-rss 1788462117,381886464,61509632,6242144,451469312,476631040
