findling-rss timestamp,anon,file,slab,current,peak
findling-rss 1788538737,29810688,413696,2281704,35192832,37642240
findling-rss 1788538742,29810688,413696,2281704,35446784,37642240
findling-rss 1788538747,29827072,413696,2274024,35438592,37642240
findling-rss 1788538752,29835264,413696,2274160,35667968,39026688
findling-rss 1788538757,29835264,413696,2273752,35667968,39026688
findling-rss 1788538762,29851648,413696,2273752,35676160,39026688
findling-rss 1788538767,29851648,413696,2273752,35471360,39026688
findling-rss 1788538772,29851648,413696,2269024,35467264,39026688
findling-rss 1788538777,29966336,413696,2269024,35319808,39026688
findling-rss 1788538782,30019584,413696,2270520,35799040,39682048
findling-rss 1788538787,30228480,413696,2278104,35594240,39682048
findling-rss 1788538792,30236672,413696,2270016,35594240,39682048
findling-rss 1788538797,30236672,413696,2269608,35594240,39682048
findling-rss 1788538802,30236672,413696,2269336,35594240,39682048
findling-rss 1788538807,30236672,413696,2269336,35594240,39682048
findling-rss 1788538812,30253056,413696,2270152,35819520,39682048
findling-rss 1788538817,30253056,413696,2269744,35819520,39682048
findling-rss 1788538822,30253056,413696,2269744,35610624,39682048
findling-rss 1788538827,30253056,413696,2269744,35610624,39682048
findling-rss 1788538832,30253056,413696,2269336,35610624,39682048
findling-rss 1788538837,30253056,413696,2269336,35610624,39682048
findling-rss 1788538842,30261248,413696,2270288,35844096,39690240
findling-rss 1788538847,30261248,413696,2269880,35618816,39690240
findling-rss 1788538852,30261248,413696,2269608,35618816,39690240
findling-rss 1788538857,30261248,413696,2269336,35618816,39690240
findling-rss 1788538862,30261248,413696,2269336,35618816,39690240
findling-rss 1788538867,30261248,413696,2269336,35618816,39690240
findling-rss 1788538872,30269440,413696,2271072,35794944,39952384
findling-rss 1788538877,30269440,413696,2269472,35639296,39952384
findling-rss 1788538882,30269440,413696,2269472,35627008,39952384
findling-rss 1788538887,30269440,413696,2269472,35627008,39952384
findling-rss 1788538892,30269440,413696,2269336,35627008,39952384
findling-rss 1788538897,30269440,413696,2269336,35627008,39952384
findling-rss 1788538902,29720576,413696,2270832,35536896,39952384
findling-rss 1788538907,29720576,413696,2270424,35332096,39952384
findling-rss 1788538912,29720576,413696,2270424,35078144,39952384
findling-rss 1788538917,29720576,413696,2269880,35078144,39952384
findling-rss 1788538922,29720576,413696,2269336,35078144,39952384
findling-rss 1788538927,29720576,413696,2269336,35078144,39952384
findling-rss 1788538932,29724672,413696,2271816,35241984,39952384
findling-rss 1788538937,29724672,413696,2269336,35241984,39952384
findling-rss 1788538942,29724672,413696,2269336,35082240,39952384
findling-rss 1788538947,29724672,413696,2269336,35082240,39952384
findling-rss 1788538952,29724672,413696,2269336,35082240,39952384
findling-rss 1788538957,29724672,413696,2269336,35082240,39952384
findling-rss 1788538962,29782016,413696,2270424,35577856,39952384
findling-rss 1788538967,29782016,413696,2270424,35139584,39952384
findling-rss 1788538972,29782016,413696,2269336,35139584,39952384
findling-rss 1788538977,29782016,413696,2269336,35139584,39952384
findling-rss 1788538982,29782016,413696,2269336,35139584,39952384
findling-rss 1788538987,29782016,413696,2269336,35139584,39952384
findling-rss 1788538992,29786112,413696,2270832,35356672,39952384
findling-rss 1788538997,29786112,413696,2269880,35237888,39952384
findling-rss 1788539002,29786112,413696,2269472,35143680,39952384
findling-rss 1788539007,29786112,413696,2269472,35143680,39952384
findling-rss 1788539012,29786112,413696,2269472,35143680,39952384
findling-rss 1788539017,29786112,413696,2269472,35143680,39952384
findling-rss 1788539022,29683712,413696,2271072,35233792,39952384
findling-rss 1788539027,29683712,413696,2269336,35041280,39952384
findling-rss 1788539032,29683712,413696,2269336,35041280,39952384
findling-rss 1788539037,29683712,413696,2269336,35041280,39952384
findling-rss 1788539042,29683712,413696,2269336,35041280,39952384
findling-rss 1788539048,29683712,413696,2269336,35041280,39952384
findling-rss 1788539053,29687808,413696,2270424,35270656,39952384
findling-rss 1788539058,29687808,413696,2270424,35246080,39952384
findling-rss 1788539063,29687808,413696,2269336,35045376,39952384
findling-rss 1788539068,29687808,413696,2269336,35045376,39952384
findling-rss 1788539073,30158848,413696,2282952,35663872,39952384
findling-rss 1788539078,30158848,413696,2282952,35790848,39952384
findling-rss 1788539083,30175232,413696,2274728,35725312,39952384
findling-rss 1788539088,30175232,413696,2273776,35532800,39952384
findling-rss 1788539093,30175232,413696,2269872,35532800,39952384
findling-rss 1788539098,30273536,413696,2286264,35979264,39952384
findling-rss 1788539103,32034816,413696,2288616,37421056,39952384
findling-rss 1788539108,32051200,413696,2272216,37421056,39952384
findling-rss 1788539113,32055296,413696,2273096,37638144,41476096
findling-rss 1788539118,32055296,413696,2271944,37511168,41476096
findling-rss 1788539123,32055296,413696,2270856,37425152,41476096
findling-rss 1788539128,32055296,413696,2270856,37425152,41476096
findling-rss 1788539133,32055296,413696,2270856,37421056,41476096
findling-rss 1788539138,32055296,413696,2270856,37421056,41476096
findling-rss 1788539143,32063488,413696,2271944,37507072,41476096
findling-rss 1788539148,32063488,413696,2271944,37507072,41476096
findling-rss 1788539153,32063488,413696,2271536,37433344,41476096
findling-rss 1788539158,32210944,413696,2283664,37588992,41476096
findling-rss 1788539163,32219136,413696,2270992,37584896,41476096
findling-rss 1788539168,32219136,413696,2270992,37584896,41476096
findling-rss 1788539173,32223232,413696,2272352,37793792,41914368
findling-rss 1788539178,32223232,413696,2271944,37593088,41914368
findling-rss 1788539183,32223232,413696,2271264,37593088,41914368
findling-rss 1788539188,32223232,413696,2271264,37593088,41914368
findling-rss 1788539193,32223232,413696,2270856,37588992,41914368
findling-rss 1788539198,32223232,413696,2270856,37588992,41914368
findling-rss 1788539203,32231424,413696,2272352,37781504,42196992
findling-rss 1788539208,32231424,413696,2271672,37601280,42196992
findling-rss 1788539213,32231424,413696,2271672,37601280,42196992
findling-rss 1788539218,32231424,413696,2270720,37601280,42196992
findling-rss 1788539223,32264192,413696,2270720,38121472,42196992
findling-rss 1788539228,32264192,413696,2270720,37634048,42196992
findling-rss 1788539233,32268288,413696,2270856,37810176,42225664
findling-rss 1788539238,32268288,413696,2270856,37634048,42225664
findling-rss 1788539243,32268288,413696,2270856,37634048,42225664
findling-rss 1788539248,32346112,413696,2271264,37711872,42225664
findling-rss 1788539253,32350208,413696,2271264,37974016,42225664
findling-rss 1788539258,32350208,413696,2271264,37715968,42225664
findling-rss 1788539263,32362496,413696,2272080,37924864,42225664
findling-rss 1788539268,32362496,413696,2271672,37732352,42225664
findling-rss 1788539273,32362496,413696,2271672,37732352,42225664
findling-rss 1788539278,32362496,413696,2270584,37728256,42225664
findling-rss 1788539283,32362496,413696,2270584,37728256,42225664
findling-rss 1788539288,32362496,413696,2270584,37728256,42225664
findling-rss 1788539293,32366592,413696,2272080,38010880,42225664
findling-rss 1788539298,32366592,413696,2271672,37736448,42225664
findling-rss 1788539303,32366592,413696,2270856,37736448,42225664
findling-rss 1788539308,32366592,413696,2270856,37736448,42225664
findling-rss 1788539313,32366592,413696,2270584,37732352,42225664
findling-rss 1788539318,32366592,413696,2270584,37732352,42225664
findling-rss 1788539323,32370688,413696,2271672,37863424,42225664
findling-rss 1788539328,32370688,413696,2270584,37863424,42225664
findling-rss 1788539333,32370688,413696,2270584,37736448,42225664
findling-rss 1788539338,32370688,413696,2270584,37736448,42225664
findling-rss 1788539343,32370688,413696,2270584,37736448,42225664
findling-rss 1788539348,32370688,413696,2270584,37736448,42225664
findling-rss 1788539353,31408128,413696,2272080,36814848,42225664
