findling-rss timestamp,anon,file,slab,current,peak
findling-rss 1788538737,55848960,28672,1795240,59121664,63385600
findling-rss 1788538742,55885824,28672,1813240,58888192,63463424
findling-rss 1788538747,55885824,28672,1814056,58884096,63463424
findling-rss 1788538752,55885824,28672,1814744,59117568,63463424
findling-rss 1788538757,55885824,28672,1815424,59330560,63463424
findling-rss 1788538762,55889920,28672,1811328,59367424,63463424
findling-rss 1788538767,55889920,28672,1812144,59125760,63463424
findling-rss 1788538772,55898112,28672,1808240,58941440,63565824
findling-rss 1788538777,55898112,28672,1809464,59154432,63565824
findling-rss 1788538782,55914496,28672,1811512,59150336,63565824
findling-rss 1788538787,55914496,28672,1809880,59109376,63565824
findling-rss 1788538792,55914496,28672,1816144,59232256,63565824
findling-rss 1788538797,55922688,28672,1815056,59150336,63565824
findling-rss 1788538802,55922688,28672,1819960,58933248,63565824
findling-rss 1788538807,55922688,28672,1819824,58937344,63565824
findling-rss 1788538812,55922688,28672,1821056,59170816,63565824
findling-rss 1788538817,55922688,28672,1821872,59121664,63565824
findling-rss 1788538822,55926784,28672,1829632,59400192,63565824
findling-rss 1788538827,55926784,28672,1829632,59084800,63565824
findling-rss 1788538832,55934976,28672,1806608,59146240,63569920
findling-rss 1788538837,55934976,28672,1807424,59105280,63569920
findling-rss 1788538842,55939072,28672,1811104,58945536,63569920
findling-rss 1788538847,55939072,28672,1811512,59105280,63569920
findling-rss 1788538852,55939072,28672,1816144,59076608,63569920
findling-rss 1788538857,55939072,28672,1814104,59174912,63569920
findling-rss 1788538862,55934976,28672,1820640,59211776,63569920
findling-rss 1788538867,55934976,28672,1820232,58937344,63569920
findling-rss 1788538872,55939072,28672,1822960,59183104,63569920
findling-rss 1788538877,55939072,28672,1822960,59133952,63569920
findling-rss 1788538882,55939072,28672,1829768,59404288,63569920
findling-rss 1788538887,55939072,28672,1830992,59002880,63569920
findling-rss 1788538892,55943168,28672,1830592,59260928,63619072
findling-rss 1788538897,55943168,28672,1830456,58966016,63619072
findling-rss 1788538902,55943168,28672,1806608,58949632,63619072
findling-rss 1788538907,55943168,28672,1807424,59162624,63619072
findling-rss 1788538912,55943168,28672,1814504,59170816,63619072
