findling-rss timestamp,anon,file,slab,current,peak
findling-rss 1788538737,48594944,14352384,3366144,67940352,78667776
findling-rss 1788538742,48594944,14352384,3366144,67932160,78667776
findling-rss 1788538747,48594944,14352384,3366144,67932160,78667776
findling-rss 1788538752,48594944,14352384,3366144,68169728,78667776
findling-rss 1788538757,48594944,14352384,3366144,68075520,78667776
findling-rss 1788538762,48594944,14352384,3368184,68042752,78667776
findling-rss 1788538767,48594944,14352384,3367640,68317184,78667776
findling-rss 1788538772,48594944,14352384,3366144,68235264,78667776
findling-rss 1788538777,48594944,14352384,3366144,68177920,78667776
findling-rss 1788538782,48594944,14352384,3366144,68251648,78667776
findling-rss 1788538787,48594944,14352384,3365112,68173824,78667776
findling-rss 1788538792,48594944,14352384,3368184,68063232,78667776
findling-rss 1788538797,48594944,14352384,3366960,68243456,78667776
findling-rss 1788538802,48594944,14352384,3366144,67932160,78667776
findling-rss 1788538807,48594944,14352384,3366144,67952640,78667776
findling-rss 1788538812,48594944,14352384,3366144,68177920,78667776
findling-rss 1788538817,48594944,14352384,3366144,68300800,78667776
findling-rss 1788538822,48594944,14352384,3367640,68153344,78667776
findling-rss 1788538827,48594944,14352384,3367640,68345856,78667776
findling-rss 1788538832,48422912,14352384,3364704,67866624,78667776
findling-rss 1788538837,48422912,14352384,3366144,67760128,78667776
findling-rss 1788538842,48422912,14352384,3366144,67764224,78667776
findling-rss 1788538847,48422912,14352384,3366144,68222976,78667776
findling-rss 1788538852,48427008,14352384,3368184,67944448,78667776
findling-rss 1788538857,48422912,14352384,3366552,68141056,78667776
findling-rss 1788538862,48427008,14352384,3366552,68177920,78667776
findling-rss 1788538867,48427008,14352384,3366144,68001792,78667776
findling-rss 1788538872,48427008,14352384,3366144,68218880,78667776
findling-rss 1788538877,48427008,14352384,3366144,67952640,78667776
findling-rss 1788538882,48427008,14352384,3368184,67944448,78667776
findling-rss 1788538887,48427008,14352384,3367640,67948544,78667776
findling-rss 1788538892,48427008,14352384,3366144,68210688,78667776
findling-rss 1788538897,48427008,14352384,3366144,67870720,78667776
findling-rss 1788538902,48427008,14352384,3366144,68075520,78667776
findling-rss 1788538907,48427008,14352384,3366144,67940352,78667776
findling-rss 1788538912,48427008,14352384,3365720,67997696,78667776
findling-rss 1788538917,48427008,14352384,3366144,67772416,78667776
findling-rss 1788538922,48427008,14352384,3364224,67964928,78667776
