findling-rss timestamp,anon,file,slab,current,peak
findling-rss 1788538737,92213248,55345152,3169056,152645632,161595392
findling-rss 1788538742,92213248,55345152,3169056,152645632,161595392
findling-rss 1788538747,92213248,55345152,3169056,153165824,161595392
findling-rss 1788538752,92213248,55345152,3169600,152907776,161595392
findling-rss 1788538757,92213248,55345152,3169328,152645632,161595392
findling-rss 1788538762,92213248,55345152,3169328,152645632,161595392
findling-rss 1788538767,92213248,55345152,3169328,152645632,161595392
findling-rss 1788538772,92213248,55345152,3169056,152899584,161595392
findling-rss 1788538777,92213248,55345152,3169056,153165824,161595392
findling-rss 1788538782,92213248,55345152,3169600,152727552,161595392
findling-rss 1788538787,92635136,63086592,3190088,160849920,220905472
findling-rss 1788538792,92635136,63086592,3189272,160849920,220905472
findling-rss 1788538797,92635136,63086592,3188864,160849920,220905472
findling-rss 1788538802,92635136,63086592,3187368,160845824,220905472
findling-rss 1788538807,92635136,63086592,3186552,161103872,220905472
findling-rss 1788538812,92635136,63086592,3187096,160985088,220905472
findling-rss 1788538817,92635136,63086592,3186824,160845824,220905472
findling-rss 1788538822,92635136,63086592,3186824,160845824,220905472
findling-rss 1788538827,92635136,63086592,3186824,160845824,220905472
findling-rss 1788538832,92635136,63086592,3186552,161099776,220905472
findling-rss 1788538837,92635136,63086592,3186552,161103872,220905472
findling-rss 1788538842,92635136,63086592,3187096,160931840,220905472
findling-rss 1788538847,92635136,63086592,3186824,160845824,220905472
findling-rss 1788538852,92635136,63086592,3186008,160845824,220905472
findling-rss 1788538857,92635136,63086592,3184920,160845824,220905472
findling-rss 1788538862,92635136,63086592,3184920,160845824,220905472
findling-rss 1788538867,92635136,63086592,3184920,161370112,220905472
findling-rss 1788538872,92635136,63086592,3186008,160903168,220905472
findling-rss 1788538877,92635136,63086592,3185192,160845824,220905472
findling-rss 1788538882,92635136,63086592,3185192,160845824,220905472
findling-rss 1788538887,92635136,63086592,3185192,160845824,220905472
findling-rss 1788538892,92635136,63086592,3184920,161099776,220905472
findling-rss 1788538897,92635136,63086592,3184920,161103872,220905472
findling-rss 1788538902,92635136,63086592,3186008,161083392,220905472
findling-rss 1788538907,92635136,63086592,3185736,160845824,220905472
findling-rss 1788538912,92635136,63086592,3185736,160845824,220905472
findling-rss 1788538917,92635136,63086592,3185600,160845824,220905472
findling-rss 1788538922,92635136,63086592,3184920,160845824,220905472
findling-rss 1788538927,92635136,63086592,3184920,161361920,220905472
findling-rss 1788538932,92635136,63086592,3186008,161034240,220905472
findling-rss 1788538937,92635136,63086592,3185464,160845824,220905472
findling-rss 1788538942,92635136,63086592,3184920,160845824,220905472
findling-rss 1788538947,41238528,62205952,2917416,108228608,220905472
findling-rss 1788538952,93323264,63086592,3186280,161538048,220905472
findling-rss 1788538957,93323264,63086592,3186280,162058240,220905472
findling-rss 1788538962,93323264,63086592,3187096,161538048,220905472
findling-rss 1788538967,93323264,63086592,3187096,161538048,220905472
findling-rss 1788538972,93323264,63086592,3186280,161538048,220905472
findling-rss 1788538977,93323264,63086592,3186280,161538048,220905472
findling-rss 1788538982,93323264,63086592,3186280,161538048,220905472
findling-rss 1788538987,93323264,63086592,3186280,162058240,220905472
findling-rss 1788538992,93323264,63086592,3187368,161726464,220905472
findling-rss 1788538997,93323264,63086592,3187096,161538048,220905472
findling-rss 1788539002,93323264,63086592,3186280,161538048,220905472
findling-rss 1788539007,93323264,63086592,3186280,161538048,220905472
findling-rss 1788539012,93323264,63086592,3185464,161792000,220905472
findling-rss 1788539017,93323264,63086592,3185464,161800192,220905472
findling-rss 1788539022,93323264,63086592,3185736,161624064,220905472
findling-rss 1788539027,93323264,63086592,3184648,161538048,220905472
findling-rss 1788539032,93323264,63086592,3184648,161538048,220905472
findling-rss 1788539037,93323264,63086592,3184648,161538048,220905472
findling-rss 1788539042,93323264,63086592,3184648,161538048,220905472
findling-rss 1788539047,93323264,63086592,3184648,162054144,220905472
findling-rss 1788539053,93323264,63086592,3185464,161890304,220905472
findling-rss 1788539058,93323264,63086592,3185464,161538048,220905472
findling-rss 1788539063,93323264,63086592,3184648,161538048,220905472
findling-rss 1788539068,93323264,63086592,3184648,161538048,220905472
findling-rss 1788539073,93896704,67538944,3198296,166887424,220905472
findling-rss 1788539078,93896704,67538944,3198296,167100416,220905472
findling-rss 1788539083,93896704,67538944,3198840,166842368,220905472
findling-rss 1788539088,93896704,67538944,3198568,166580224,220905472
findling-rss 1788539093,93896704,67538944,3198568,166580224,220905472
findling-rss 1788539098,93921280,67547136,3206176,167100416,220905472
findling-rss 1788539103,94216192,67551232,3199928,166912000,220905472
findling-rss 1788539108,94216192,67551232,3199928,167170048,220905472
findling-rss 1788539113,94216192,67551232,3201016,167112704,220905472
findling-rss 1788539118,94216192,67551232,3200744,166912000,220905472
findling-rss 1788539123,94216192,67551232,3199928,166912000,220905472
findling-rss 1788539128,94216192,67551232,3199928,166912000,220905472
findling-rss 1788539133,94216192,67551232,3199928,167165952,220905472
findling-rss 1788539138,94216192,67551232,3197888,167428096,220905472
findling-rss 1788539143,94216192,67551232,3196664,167227392,220905472
findling-rss 1788539148,94216192,67551232,3196664,166907904,220905472
findling-rss 1788539153,94216192,67551232,3196120,166907904,220905472
findling-rss 1788539158,94212096,67579904,3198568,166981632,220905472
findling-rss 1788539163,94212096,67579904,3197616,166936576,220905472
