findling-rss timestamp,anon,file,slab,current,peak
findling-rss 1788538737,3756032,1409024,364520,5853184,9818112
findling-rss 1788538742,3756032,1409024,364760,6115328,9818112
findling-rss 1788538747,3756032,1409024,364112,6115328,9818112
findling-rss 1788538752,3760128,1409024,364864,6377472,9928704
findling-rss 1788538757,3760128,1409024,364248,6377472,9928704
findling-rss 1788538762,3760128,1409024,364488,6119424,9928704
findling-rss 1788538767,3760128,1409024,364248,6377472,9928704
findling-rss 1788538772,3760128,1409024,364112,6119424,9928704
findling-rss 1788538777,3760128,1409024,364352,6119424,9928704
findling-rss 1788538782,3760128,1409024,364248,6115328,10448896
findling-rss 1788538787,3813376,1409024,365032,6172672,10448896
findling-rss 1788538792,3813376,1409024,364760,6172672,10448896
findling-rss 1788538797,3813376,1409024,364592,6426624,10448896
findling-rss 1788538802,3813376,1409024,364352,6434816,10448896
findling-rss 1788538807,3813376,1409024,364352,6434816,10448896
findling-rss 1788538812,3813376,1409024,364352,6172672,10518528
findling-rss 1788538817,3813376,1409024,364112,6172672,10518528
findling-rss 1788538822,3813376,1409024,364352,6434816,10518528
findling-rss 1788538827,3813376,1409024,364112,6430720,10518528
findling-rss 1788538832,3813376,1409024,364112,6434816,10518528
findling-rss 1788538837,3813376,1409024,364112,6172672,10518528
findling-rss 1788538842,3813376,1409024,364384,6365184,10518528
findling-rss 1788538847,3813376,1409024,364248,6172672,10518528
findling-rss 1788538852,3813376,1409024,364112,6434816,10518528
findling-rss 1788538857,3813376,1409024,364352,6430720,10518528
findling-rss 1788538862,3813376,1409024,364112,6168576,10518528
findling-rss 1788538867,3813376,1409024,364352,6172672,10518528
findling-rss 1788538872,3813376,1409024,364112,6430720,10518528
findling-rss 1788538877,3813376,1409024,364352,6430720,10518528
findling-rss 1788538882,3813376,1409024,364352,6172672,10518528
findling-rss 1788538887,3813376,1409024,364352,6430720,10518528
findling-rss 1788538892,3813376,1409024,364352,6426624,10518528
findling-rss 1788538897,3813376,1409024,364112,6172672,10518528
findling-rss 1788538902,3813376,1409024,364592,6021120,10518528
findling-rss 1788538907,3813376,1409024,364352,6430720,10518528
findling-rss 1788538912,3813376,1409024,364352,6172672,10518528
findling-rss 1788538917,3813376,1409024,364112,6430720,10518528
findling-rss 1788538922,3813376,1409024,364352,6430720,10518528
findling-rss 1788538927,3813376,1409024,364112,6430720,10518528
findling-rss 1788538932,3813376,1409024,364248,6230016,10518528
findling-rss 1788538937,3813376,1409024,364488,6434816,10518528
findling-rss 1788538942,3813376,1409024,364112,6434816,10518528
findling-rss 1788538947,3813376,1409024,364624,6160384,10518528
findling-rss 1788538952,3813376,1409024,364896,6426624,10518528
findling-rss 1788538957,3813376,1409024,364352,6172672,10518528
findling-rss 1788538962,3813376,1409024,364488,6430720,10518528
findling-rss 1788538967,3813376,1409024,364248,6430720,10518528
findling-rss 1788538972,3813376,1409024,364352,6434816,10518528
findling-rss 1788538977,3813376,1409024,364112,6172672,10518528
findling-rss 1788538982,3813376,1409024,364352,6434816,10518528
findling-rss 1788538987,3813376,1409024,364112,6172672,10518528
findling-rss 1788538992,3813376,1409024,364896,6201344,10518528
findling-rss 1788538997,3813376,1409024,364352,6430720,10518528
findling-rss 1788539002,3813376,1409024,364352,6434816,10518528
findling-rss 1788539007,3813376,1409024,364112,6426624,10518528
findling-rss 1788539012,3813376,1409024,364112,6430720,10518528
findling-rss 1788539017,3813376,1409024,364352,6172672,10518528
findling-rss 1788539022,3813376,1409024,365304,6168576,10518528
findling-rss 1788539027,3813376,1409024,364488,6422528,10518528
findling-rss 1788539032,3813376,1409024,364248,6430720,10518528
findling-rss 1788539037,3813376,1409024,364488,6430720,10518528
findling-rss 1788539043,3813376,1409024,364352,6434816,10518528
findling-rss 1788539048,3813376,1409024,364352,6172672,10518528
findling-rss 1788539053,3813376,1409024,364488,6430720,10518528
findling-rss 1788539058,3813376,1409024,364248,6434816,10518528
findling-rss 1788539063,3813376,1409024,364112,6434816,10518528
findling-rss 1788539068,3813376,1409024,364352,6430720,10518528
findling-rss 1788539073,3817472,1409024,365880,6160384,10518528
findling-rss 1788539078,3817472,1409024,366120,6176768,10518528
findling-rss 1788539083,3817472,1409024,364352,6434816,10518528
findling-rss 1788539088,3817472,1409024,364112,6434816,10518528
findling-rss 1788539093,3817472,1409024,364112,6176768,10518528
findling-rss 1788539098,3842048,1409024,364792,6197248,10518528
findling-rss 1788539103,3842048,1409024,364112,6459392,10518528
findling-rss 1788539108,3842048,1409024,364352,6201344,10518528
findling-rss 1788539113,3842048,1409024,365032,6385664,10518528
findling-rss 1788539118,3842048,1409024,364656,6201344,10518528
findling-rss 1788539123,3842048,1409024,364352,6201344,10518528
findling-rss 1788539128,3842048,1409024,364352,6459392,10518528
findling-rss 1788539133,3842048,1409024,364352,6459392,10518528
findling-rss 1788539138,3842048,1409024,364112,6201344,10518528
findling-rss 1788539143,3842048,1409024,364928,6459392,10518528
findling-rss 1788539148,3842048,1409024,365168,6459392,10518528
findling-rss 1788539153,3842048,1409024,364488,6459392,10518528
findling-rss 1788539158,3842048,1409024,365064,6426624,10518528
findling-rss 1788539163,3842048,1409024,364112,6201344,10518528
findling-rss 1788539168,3842048,1409024,364352,6201344,10518528
findling-rss 1788539173,3842048,1409024,364352,6459392,10518528
findling-rss 1788539178,3842048,1409024,364352,6459392,10518528
findling-rss 1788539183,3842048,1409024,364112,6201344,10518528
findling-rss 1788539188,3842048,1409024,364352,6459392,10518528
findling-rss 1788539193,3842048,1409024,364112,5939200,10518528
findling-rss 1788539198,3842048,1409024,364352,6201344,10518528
findling-rss 1788539203,3842048,1409024,364248,6369280,10539008
findling-rss 1788539208,3842048,1409024,364488,6459392,10539008
findling-rss 1788539213,3842048,1409024,364488,6463488,10539008
findling-rss 1788539218,3842048,1409024,364352,6455296,10539008
findling-rss 1788539223,3842048,1409024,364352,6201344,10539008
findling-rss 1788539228,3842048,1409024,364112,6459392,10539008
findling-rss 1788539233,3842048,1409024,364488,6459392,10543104
findling-rss 1788539238,3842048,1409024,364488,6459392,10543104
findling-rss 1788539243,3842048,1409024,364488,6463488,10543104
findling-rss 1788539248,3842048,1409024,364864,6451200,10543104
findling-rss 1788539253,3842048,1409024,364896,6193152,10543104
findling-rss 1788539258,3842048,1409024,364896,6201344,10543104
findling-rss 1788539263,3842048,1409024,364928,6459392,10543104
findling-rss 1788539268,3842048,1409024,365168,6459392,10543104
findling-rss 1788539273,3842048,1409024,364112,6197248,10543104
findling-rss 1788539278,3842048,1409024,364352,6459392,10543104
findling-rss 1788539283,3842048,1409024,364112,6459392,10543104
findling-rss 1788539288,3842048,1409024,364352,6201344,10543104
findling-rss 1788539293,3842048,1409024,364864,6197248,10543104
findling-rss 1788539298,3842048,1409024,364248,6197248,10543104
findling-rss 1788539303,3842048,1409024,364248,6201344,10543104
findling-rss 1788539308,3842048,1409024,364248,6459392,10543104
findling-rss 1788539313,3842048,1409024,364352,6201344,10543104
findling-rss 1788539318,3842048,1409024,364112,6201344,10543104
findling-rss 1788539323,3842048,1409024,364656,6197248,10543104
findling-rss 1788539328,3842048,1409024,364352,6201344,10543104
findling-rss 1788539333,3842048,1409024,364112,6201344,10543104
findling-rss 1788539338,3842048,1409024,364592,6455296,10543104
findling-rss 1788539343,3842048,1409024,364112,6201344,10543104
findling-rss 1788539348,3842048,1409024,364352,6463488,10543104
findling-rss 1788539353,3842048,1409024,364760,5939200,10543104
findling-rss summary samples=124 max_anon=3842048 peak=10543104 events=[low=0 high=0 max=0 oom=0 oom_kill=0 oom_group_kill=0 sock_throttled=0] oom_killed=false
