findling-rss timestamp,anon,file,slab,current,peak
findling-rss 1788536405,38793216,487424,2755464,44736512,49442816
findling-rss 1788536410,38797312,487424,2756960,44929024,49442816
findling-rss 1788536415,38797312,487424,2755600,44761088,49442816
findling-rss 1788536420,38797312,487424,2755600,44761088,49442816
findling-rss 1788536425,38797312,487424,2755600,44740608,49442816
findling-rss 1788536430,38797312,487424,2755464,44740608,49442816
findling-rss 1788536435,38797312,487424,2751552,45002752,49442816
findling-rss 1788536440,38801408,487424,2752640,44744704,49442816
findling-rss 1788536445,38801408,487424,2752640,44744704,49442816
findling-rss 1788536450,38801408,487424,2752640,44744704,49442816
findling-rss 1788536455,38801408,487424,2751824,44740608,49442816
findling-rss 1788536460,38801408,487424,2751280,44740608,49442816
findling-rss 1788536465,38801408,487424,2751280,44740608,49442816
findling-rss 1788536470,38805504,487424,2752776,44875776,49442816
findling-rss 1788536475,38805504,487424,2752368,44748800,49442816
findling-rss 1788536480,38805504,487424,2752368,44748800,49442816
findling-rss 1788536485,38805504,487424,2752096,44744704,49442816
findling-rss 1788536490,38805504,487424,2751280,44744704,49442816
findling-rss 1788536495,38805504,487424,2751280,44744704,49442816
findling-rss 1788536500,38809600,487424,2752776,44810240,49442816
findling-rss 1788536505,38809600,487424,2752368,44752896,49442816
findling-rss 1788536510,38809600,487424,2752096,44752896,49442816
findling-rss 1788536515,38809600,487424,2751280,44748800,49442816
findling-rss 1788536520,38809600,487424,2751280,44748800,49442816
findling-rss 1788536525,38809600,487424,2751280,44748800,49442816
findling-rss 1788536530,33054720,487424,2752232,39235584,49442816
findling-rss 1788536535,33054720,487424,2752096,38993920,49442816
findling-rss 1788536540,33054720,487424,2752096,38993920,49442816
findling-rss 1788536545,33054720,487424,2752096,38993920,49442816
findling-rss 1788536550,33054720,487424,2751280,38993920,49442816
findling-rss 1788536555,33054720,487424,2751280,38993920,49442816
findling-rss 1788536560,33054720,487424,2752776,39292928,49442816
findling-rss 1788536565,33054720,487424,2752368,39292928,49442816
findling-rss 1788536570,33054720,487424,2752368,39170048,49442816
findling-rss 1788536575,33054720,487424,2751824,38998016,49442816
findling-rss 1788536580,33054720,487424,2751824,38993920,49442816
findling-rss 1788536585,33054720,487424,2751280,38993920,49442816
findling-rss 1788536590,33058816,487424,2752776,39165952,49442816
findling-rss 1788536595,33058816,487424,2751280,38998016,49442816
findling-rss 1788536600,33058816,487424,2751280,38998016,49442816
findling-rss 1788536605,33058816,487424,2751280,38998016,49442816
findling-rss 1788536610,33058816,487424,2751280,38998016,49442816
findling-rss 1788536615,33058816,487424,2751280,38998016,49442816
findling-rss 1788536620,33062912,487424,2752368,39198720,49442816
findling-rss 1788536625,33062912,487424,2752368,39198720,49442816
findling-rss 1788536630,33062912,487424,2752368,39006208,49442816
findling-rss 1788536635,33062912,487424,2752368,39006208,49442816
findling-rss 1788536640,33095680,487424,2751416,39034880,49442816
findling-rss 1788536645,33095680,487424,2751280,39034880,49442816
findling-rss 1788536650,33050624,487424,2752776,39415808,49442816
findling-rss 1788536655,33050624,487424,2752368,39251968,49442816
findling-rss 1788536660,33050624,487424,2751552,38993920,49442816
findling-rss 1788536665,33050624,487424,2751280,38989824,49442816
findling-rss 1788536670,33050624,487424,2751280,38989824,49442816
findling-rss 1788536675,33050624,487424,2751280,38989824,49442816
findling-rss 1788536680,33071104,487424,2752776,39206912,49442816
findling-rss 1788536685,33071104,487424,2751688,39321600,49442816
findling-rss 1788536690,36110336,487424,2780816,42336256,49442816
findling-rss 1788536695,36122624,487424,2757776,42074112,49442816
findling-rss 1788536700,36122624,487424,2755464,42070016,49442816
findling-rss 1788536705,36122624,487424,2755464,42590208,49442816
findling-rss 1788536710,36139008,487424,2760592,42319872,49442816
findling-rss 1788536715,36147200,487424,2755352,42356736,49442816
findling-rss 1788536720,36159488,487424,2753184,42364928,49442816
findling-rss 1788536725,36159488,487424,2751552,42098688,49442816
findling-rss 1788536730,36159488,487424,2751552,42098688,49442816
findling-rss 1788536735,36159488,487424,2751552,42098688,49442816
findling-rss 1788536740,36163584,487424,2753048,42549248,49442816
findling-rss 1788536745,36163584,487424,2752640,42549248,49442816
findling-rss 1788536750,36163584,487424,2752368,42360832,49442816
findling-rss 1788536755,36163584,487424,2752368,42106880,49442816
findling-rss 1788536760,36163584,487424,2751552,42102784,49442816
findling-rss 1788536765,36163584,487424,2751552,42102784,49442816
findling-rss 1788536770,36171776,487424,2752640,42328064,49442816
findling-rss 1788536775,36171776,487424,2752640,42217472,49442816
findling-rss 1788536780,36171776,487424,2752640,42115072,49442816
findling-rss 1788536785,36171776,487424,2752504,42115072,49442816
findling-rss 1788536790,36171776,487424,2751280,42115072,49442816
findling-rss 1788536795,36171776,487424,2751280,42115072,49442816
findling-rss 1788536800,36175872,487424,2751824,42340352,49442816
findling-rss 1788536805,36175872,487424,2751824,42323968,49442816
findling-rss 1788536810,36179968,487424,2751824,42377216,49442816
findling-rss 1788536815,36179968,487424,2751824,42119168,49442816
findling-rss 1788536820,35889152,487424,2751688,41828352,49442816
findling-rss 1788536825,35889152,487424,2751280,41828352,49442816
findling-rss 1788536830,35897344,487424,2752776,41840640,49442816
findling-rss 1788536835,35897344,487424,2752368,41840640,49442816
findling-rss 1788536840,35897344,487424,2752368,41840640,49442816
findling-rss 1788536845,35897344,487424,2752368,41840640,49442816
findling-rss 1788536850,35897344,487424,2751280,41836544,49442816
findling-rss 1788536855,35897344,487424,2751280,41836544,49442816
findling-rss 1788536860,35921920,487424,2752776,42016768,49442816
findling-rss 1788536865,35921920,487424,2752368,41971712,49442816
findling-rss 1788536870,35921920,487424,2752368,41865216,49442816
findling-rss 1788536875,35921920,487424,2751688,41865216,49442816
findling-rss 1788536880,35921920,487424,2751280,41861120,49442816
findling-rss 1788536885,35921920,487424,2751280,41861120,49442816
