findling-rss timestamp,anon,file,slab,current,peak
findling-rss 1788536405,48418816,13627392,3362008,67223552,78667776
findling-rss 1788536410,48418816,13627392,3361600,67268608,78667776
findling-rss 1788536415,48418816,13627392,3361600,67354624,78667776
findling-rss 1788536420,48418816,13660160,3363640,67100672,78667776
findling-rss 1788536425,48418816,13660160,3363096,67280896,78667776
findling-rss 1788536430,48418816,13660160,3361464,67166208,78667776
findling-rss 1788536435,48418816,13660160,3361464,67506176,78667776
findling-rss 1788536440,48418816,13660160,3361464,67403776,78667776
findling-rss 1788536445,48418816,13660160,3361464,67227648,78667776
findling-rss 1788536450,48418816,13660160,3361584,67354624,78667776
findling-rss 1788536455,48418816,13660160,3362080,67424256,78667776
findling-rss 1788536460,48418816,13660160,3359544,67260416,78667776
findling-rss 1788536465,48418816,13660160,3359544,67350528,78667776
findling-rss 1788536470,48410624,13660160,3361464,67313664,78667776
findling-rss 1788536475,48418816,13660160,3361944,67141632,78667776
findling-rss 1788536480,48418816,13713408,3362960,67420160,78667776
findling-rss 1788536485,48418816,13713408,3360632,67461120,78667776
findling-rss 1788536490,48418816,13713408,3361464,67248128,78667776
findling-rss 1788536495,48418816,13713408,3359544,67190784,78667776
findling-rss 1788536500,48451584,13713408,3361464,67399680,78667776
findling-rss 1788536505,48451584,13713408,3361464,67530752,78667776
findling-rss 1788536510,48451584,13713408,3363096,67358720,78667776
findling-rss 1788536515,48447488,13713408,3362280,67407872,78667776
findling-rss 1788536520,48451584,13713408,3362280,67338240,78667776
findling-rss 1788536525,48451584,13713408,3362280,67420160,78667776
findling-rss 1788536530,48451584,13713408,3361944,67387392,78667776
findling-rss 1788536535,48451584,13713408,3359544,67239936,78667776
findling-rss 1788536540,48484352,13713408,3363504,67358720,78667776
findling-rss 1788536545,48484352,13713408,3363200,67518464,78667776
findling-rss 1788536550,48484352,13713408,3361464,67481600,78667776
findling-rss 1788536555,48484352,13713408,3361944,67321856,78667776
findling-rss 1788536560,48484352,13713408,3361464,67534848,78667776
findling-rss 1788536565,48484352,13713408,3361944,67334144,78667776
findling-rss 1788536570,48484352,13713408,3362960,67264512,78667776
findling-rss 1788536575,48480256,13713408,3361944,67592192,78667776
findling-rss 1788536580,48484352,13713408,3361464,67485696,78667776
findling-rss 1788536585,48484352,13713408,3361464,67297280,78667776
findling-rss 1788536590,48484352,13713408,3361464,67432448,78667776
findling-rss 1788536595,48484352,13713408,3361464,67506176,78667776
findling-rss 1788536600,48484352,13713408,3363504,67514368,78667776
findling-rss 1788536605,48484352,13713408,3363440,67440640,78667776
findling-rss 1788536610,48484352,13713408,3361464,67530752,78667776
findling-rss 1788536615,48484352,13713408,3361952,67620864,78667776
findling-rss 1788536620,48484352,13713408,3361952,67543040,78667776
findling-rss 1788536625,48484352,13713408,3359544,67366912,78667776
findling-rss 1788536630,48517120,13713408,3363504,67350528,78667776
findling-rss 1788536635,48517120,13713408,3363440,67465216,78667776
findling-rss 1788536640,48517120,13713408,3361464,67211264,78667776
findling-rss 1788536645,48517120,13713408,3361944,67293184,78667776
findling-rss 1788536650,48517120,13713408,3361464,67514368,78667776
findling-rss 1788536655,48517120,13713408,3361464,67600384,78667776
findling-rss 1788536660,48386048,13713408,3362552,67088384,78667776
findling-rss 1788536665,48386048,13713408,3361464,67190784,78667776
findling-rss 1788536670,48386048,13713408,3361464,67432448,78667776
findling-rss 1788536675,48386048,13713408,3361464,67432448,78667776
findling-rss 1788536680,48386048,13713408,3361464,67452928,78667776
findling-rss 1788536685,48386048,13713408,3361464,67272704,78667776
findling-rss 1788536690,48386048,13713408,3363504,67338240,78667776
findling-rss 1788536695,48386048,13713408,3361040,67354624,78667776
findling-rss 1788536700,48386048,13713408,3361944,67571712,78667776
findling-rss 1788536705,48386048,13713408,3361464,67198976,78667776
findling-rss 1788536710,48386048,13713408,3361464,67571712,78667776
findling-rss 1788536715,48381952,13713408,3359544,67395584,78667776
findling-rss 1788536720,48386048,13713408,3363504,67325952,78667776
findling-rss 1788536725,48386048,13713408,3361464,67080192,78667776
findling-rss 1788536730,48386048,13713408,3361464,67301376,78667776
findling-rss 1788536735,48386048,13713408,3361944,67375104,78667776
findling-rss 1788536740,48386048,13713408,3361464,67473408,78667776
findling-rss 1788536745,48386048,13713408,3361464,67284992,78667776
findling-rss 1788536750,48418816,13721600,3362280,67321856,78667776
findling-rss 1788536755,48418816,13721600,3362280,67227648,78667776
findling-rss 1788536760,48418816,13721600,3361464,67424256,78667776
findling-rss 1788536765,48418816,13721600,3361464,67248128,78667776
findling-rss 1788536770,48418816,13721600,3361944,67403776,78667776
findling-rss 1788536775,48418816,13721600,3361944,67432448,78667776
findling-rss 1788536780,48418816,13721600,3363984,67518464,78667776
findling-rss 1788536785,48418816,13721600,3363440,67633152,78667776
findling-rss 1788536790,48418816,13721600,3361464,67432448,78667776
findling-rss 1788536795,48418816,13721600,3361944,67526656,78667776
findling-rss 1788536800,48418816,13721600,3361464,67522560,78667776
findling-rss 1788536805,48418816,13721600,3361944,67465216,78667776
findling-rss 1788536810,48418816,13721600,3363504,67579904,78667776
findling-rss 1788536815,48418816,13721600,3362960,67358720,78667776
findling-rss 1788536820,48418816,13721600,3361464,67289088,78667776
findling-rss 1788536825,48414720,13721600,3361464,67371008,78667776
findling-rss 1788536830,48418816,13721600,3361464,67215360,78667776
findling-rss 1788536835,48418816,13721600,3361464,67284992,78667776
findling-rss 1788536840,48418816,13721600,3362960,67166208,78667776
findling-rss 1788536845,48414720,13721600,3363440,67645440,78667776
findling-rss 1788536850,48418816,13721600,3359544,67457024,78667776
findling-rss 1788536855,48418816,13721600,3359544,67358720,78667776
findling-rss 1788536860,48418816,13721600,3361464,67375104,78667776
findling-rss 1788536865,48418816,13721600,3371952,67465216,78667776
findling-rss 1788536870,48349184,13721600,3363504,67207168,78667776
findling-rss 1788536875,48353280,13721600,3362792,67248128,78667776
findling-rss 1788536880,48353280,13721600,3361736,67338240,78667776
findling-rss 1788536885,48353280,13721600,3361736,67198976,78667776
findling-rss 1788536890,48353280,13721600,3361736,67354624,78667776
findling-rss 1788536895,48353280,13721600,3361736,67162112,78667776
findling-rss 1788536900,48357376,13721600,3362824,67407872,78667776
findling-rss 1788536905,48357376,13721600,3362280,67481600,78667776
findling-rss 1788536910,48357376,13721600,3361600,67469312,78667776
findling-rss 1788536915,48357376,13721600,3361600,67149824,78667776
