at,runState,scheduled,running,docs,aclRows,failed,skipped,gruende,indexBytes,lowDisk,diskFreeBytes,coveragePercent,coverageIndexable,mountsFinished,provisional,secondsLeft,ocrMeasured,lockstep,backendReachable
2026-09-03T23:13:08Z,idle,0,0,0,0,0,0,{},2254,False,22826905600,,0,0,True,,,match,True
2026-09-03T23:18:09Z,running,549,0,0,0,0,0,{},2254,False,22826692608,,0,0,True,,,match,True
2026-09-03T23:23:11Z,running,608,32,1411,1411,0,328,"{""no_text_layer"": 328}",24966748,False,22794952704,68,2049,0,True,10206,350,match,True
2026-09-03T23:28:13Z,running,1038,32,2976,2976,0,673,"{""no_text_layer"": 673}",53354836,False,22764138496,73,4046,1,True,4355,697,match,True
2026-09-03T23:33:14Z,running,1410,32,4587,4587,0,1027,"{""empty_text"": 14, ""image_not_ocrable"": 2, ""no_text_layer"": 1011}",81988023,False,22733639680,75,6045,1,True,2899,1040,match,True
2026-09-03T23:38:16Z,running,1766,32,6231,6231,0,1414,"{""empty_text"": 14, ""image_not_ocrable"": 2, ""no_text_layer"": 1398}",111857635,False,22701604864,77,8045,1,True,1995,1432,match,True
2026-09-03T23:43:18Z,running,2110,32,7886,7886,0,1791,"{""empty_text"": 14, ""image_not_ocrable"": 2, ""no_text_layer"": 1775}",141497186,False,22669819904,78,10044,1,True,1432,1813,match,True
2026-09-03T23:48:19Z,running,2438,32,9558,9558,0,2150,"{""empty_text"": 14, ""image_not_ocrable"": 2, ""no_text_layer"": 2134}",172459227,False,22636326912,79,12044,1,True,1087,2178,match,True
2026-09-03T23:53:21Z,running,2826,32,11169,11169,0,2507,"{""empty_text"": 14, ""image_not_ocrable"": 2, ""no_text_layer"": 2491}",201103706,False,22606020608,79,14043,1,True,993,2535,match,True
2026-09-03T23:58:22Z,running,3203,32,12790,12790,0,2917,"{""empty_text"": 14, ""image_not_ocrable"": 2, ""no_text_layer"": 2901}",230346148,False,22574538752,79,16041,1,True,797,2951,match,True
2026-09-04T00:03:24Z,running,3545,32,14447,14447,0,3290,"{""empty_text"": 14, ""image_not_ocrable"": 2, ""no_text_layer"": 3274}",260110233,False,22542573568,80,18040,1,True,650,3327,match,True
2026-09-04T00:08:26Z,running,3924,32,16066,16066,0,3670,"{""empty_text"": 14, ""image_not_ocrable"": 2, ""no_text_layer"": 3654}",289052293,False,22511562752,80,20038,1,True,587,3713,match,True
2026-09-04T00:13:27Z,running,4262,32,17727,17727,0,4071,"{""empty_text"": 14, ""image_not_ocrable"": 2, ""no_text_layer"": 4055}",319526498,False,22478372864,80,22037,1,True,446,4117,match,True
2026-09-04T00:18:29Z,running,4655,32,19334,19334,0,4431,"{""empty_text"": 14, ""image_not_ocrable"": 2, ""no_text_layer"": 4415}",348795222,False,22447054848,80,24037,1,True,458,4482,match,True
2026-09-04T00:23:31Z,running,4946,32,21040,21040,0,4821,"{""empty_text"": 14, ""image_not_ocrable"": 2, ""no_text_layer"": 4805}",380189335,False,22413807616,80,26034,1,True,276,4879,match,True
2026-09-04T00:28:32Z,running,5362,32,22624,22624,0,5170,"{""empty_text"": 14, ""image_not_ocrable"": 2, ""no_text_layer"": 5154}",409469041,False,22382485504,80,28034,1,True,388,5234,match,True
2026-09-04T00:33:34Z,running,5642,32,24344,24344,0,5514,"{""empty_text"": 14, ""image_not_ocrable"": 2, ""no_text_layer"": 5498}",441140006,False,22348537856,81,30034,1,True,285,5581,match,True
2026-09-04T00:38:36Z,running,5998,32,25987,25987,0,5871,"{""empty_text"": 14, ""image_not_ocrable"": 2, ""no_text_layer"": 5855}",470464120,False,22317068288,81,32033,1,True,276,5943,match,True
2026-09-04T00:43:38Z,running,6316,32,27669,27669,0,6252,"{""empty_text"": 14, ""image_not_ocrable"": 2, ""no_text_layer"": 6236}",501040520,False,22284394496,81,34033,1,True,185,6327,match,True
2026-09-04T00:48:39Z,running,6716,32,29269,29269,0,6620,"{""empty_text"": 14, ""image_not_ocrable"": 2, ""no_text_layer"": 6604}",529344192,False,22253826048,81,36033,1,True,237,6697,match,True
2026-09-04T00:53:41Z,running,7019,32,30966,30966,0,7019,"{""empty_text"": 14, ""image_not_ocrable"": 2, ""no_text_layer"": 7003}",560276263,False,22220709888,81,38033,1,True,80,7098,match,True
2026-09-04T00:58:43Z,running,7391,32,32593,32593,0,7328,"{""empty_text"": 14, ""image_not_ocrable"": 2, ""no_text_layer"": 7312}",589321740,False,22189531136,81,40032,1,True,186,7410,match,True
2026-09-04T01:03:45Z,running,7712,32,34272,34272,0,7680,"{""empty_text"": 14, ""image_not_ocrable"": 2, ""no_text_layer"": 7664}",619645316,False,22156603392,81,42032,1,True,133,7764,match,True
2026-09-04T01:08:46Z,running,8040,32,35944,35944,0,8040,"{""empty_text"": 14, ""image_not_ocrable"": 2, ""no_text_layer"": 8024}",649444373,False,22124539904,81,44032,1,True,79,8129,match,True
2026-09-04T01:13:48Z,running,8400,18,37598,37598,0,8418,"{""empty_text"": 14, ""image_not_ocrable"": 2, ""no_text_layer"": 8402}",679511355,False,22092390400,81,46032,1,True,26,8511,match,True
2026-09-04T01:18:49Z,running,8750,17,39248,39248,0,8768,"{""empty_text"": 14, ""image_not_ocrable"": 2, ""no_text_layer"": 8752}",709499210,False,22060306432,81,48031,1,True,26,8865,match,True
2026-09-04T01:23:51Z,running,9143,16,40854,40854,0,9161,"{""empty_text"": 14, ""image_not_ocrable"": 2, ""no_text_layer"": 9145}",738861610,False,22028824576,81,50029,1,True,25,9263,match,True
2026-09-04T01:28:53Z,running,9058,2,41008,41008,0,9076,"{""empty_text"": 14, ""image_not_ocrable"": 2, ""no_text_layer"": 9060}",739867461,False,22027616256,81,50084,1,True,0,9178,match,True
2026-09-04T01:33:54Z,running,8982,2,41084,41084,0,9000,"{""empty_text"": 14, ""image_not_ocrable"": 2, ""no_text_layer"": 8984}",740098732,False,22027231232,82,50084,2,False,0,9102,match,True
2026-09-04T01:38:56Z,running,8888,2,41178,41178,0,8906,"{""empty_text"": 14, ""image_not_ocrable"": 2, ""no_text_layer"": 8890}",740336240,False,22026948608,82,50084,2,False,0,9008,match,True
2026-09-04T01:43:57Z,running,8786,2,41280,41280,0,8804,"{""empty_text"": 14, ""image_not_ocrable"": 2, ""no_text_layer"": 8788}",740569348,False,22026608640,82,50084,2,False,0,8906,match,True
2026-09-04T01:48:58Z,running,8696,2,41370,41370,0,8714,"{""empty_text"": 14, ""image_not_ocrable"": 2, ""no_text_layer"": 8698}",740762194,False,22026387456,82,50084,2,False,0,8816,match,True
2026-09-04T01:54:00Z,running,8598,2,41468,41468,0,8616,"{""empty_text"": 14, ""image_not_ocrable"": 2, ""no_text_layer"": 8600}",740998410,False,22026067968,82,50084,2,False,0,8718,match,True
2026-09-04T01:59:01Z,running,8506,2,41560,41560,0,8524,"{""empty_text"": 14, ""image_not_ocrable"": 2, ""no_text_layer"": 8508}",741251282,False,22025654272,82,50084,2,False,0,8626,match,True
2026-09-04T02:04:03Z,stalled,8408,2,41658,41658,0,8426,"{""empty_text"": 14, ""image_not_ocrable"": 2, ""no_text_layer"": 8410}",741469696,False,22025363456,83,50084,2,False,0,8528,match,True
2026-09-04T02:09:04Z,stalled,8312,2,41754,41754,0,8330,"{""empty_text"": 14, ""image_not_ocrable"": 2, ""no_text_layer"": 8314}",741701711,False,22025060352,83,50084,2,False,0,8432,match,True
2026-09-04T02:14:06Z,stalled,8210,2,41856,41856,0,8228,"{""empty_text"": 14, ""image_not_ocrable"": 2, ""no_text_layer"": 8212}",741903263,False,22024855552,83,50084,2,False,0,8330,match,True
2026-09-04T02:19:07Z,stalled,8108,2,41958,41958,0,8126,"{""empty_text"": 14, ""image_not_ocrable"": 2, ""no_text_layer"": 8110}",742130503,False,22024454144,83,50084,2,False,0,8228,match,True
2026-09-04T02:24:09Z,stalled,8010,2,42056,42056,0,8028,"{""empty_text"": 14, ""image_not_ocrable"": 2, ""no_text_layer"": 8012}",742345134,False,22020300800,83,50084,2,False,0,8130,match,True
2026-09-04T02:29:10Z,stalled,7922,2,42144,42144,0,7940,"{""empty_text"": 14, ""image_not_ocrable"": 2, ""no_text_layer"": 7924}",742608095,False,22023778304,84,50084,2,False,0,8042,match,True
2026-09-04T02:34:12Z,stalled,7822,2,42244,42244,0,7840,"{""empty_text"": 14, ""image_not_ocrable"": 2, ""no_text_layer"": 7824}",742835256,False,22023438336,84,50084,2,False,0,7942,match,True
2026-09-04T02:39:13Z,stalled,7728,2,42338,42338,0,7746,"{""empty_text"": 14, ""image_not_ocrable"": 2, ""no_text_layer"": 7730}",743040124,False,22023544832,84,50084,2,False,0,7848,match,True
2026-09-04T02:44:15Z,stalled,7640,2,42426,42426,0,7658,"{""empty_text"": 14, ""image_not_ocrable"": 2, ""no_text_layer"": 7642}",743300269,False,22022819840,84,50084,2,False,0,7760,match,True
2026-09-04T02:49:16Z,stalled,7548,2,42518,42518,0,7566,"{""empty_text"": 14, ""image_not_ocrable"": 2, ""no_text_layer"": 7550}",743496164,False,22022578176,84,50084,2,False,0,7668,match,True
2026-09-04T02:54:18Z,stalled,7464,2,42602,42602,0,7482,"{""empty_text"": 14, ""image_not_ocrable"": 2, ""no_text_layer"": 7466}",743719641,False,22022647808,85,50084,2,False,0,7584,match,True
2026-09-04T02:59:19Z,stalled,7362,2,42704,42704,0,7380,"{""empty_text"": 14, ""image_not_ocrable"": 2, ""no_text_layer"": 7364}",743977882,False,22021902336,85,50084,2,False,0,7482,match,True
2026-09-04T03:04:21Z,stalled,7262,2,42804,42804,0,7280,"{""empty_text"": 14, ""image_not_ocrable"": 2, ""no_text_layer"": 7264}",744193277,False,22021566464,85,50084,2,False,0,7382,match,True
2026-09-04T03:09:22Z,stalled,7160,2,42906,42906,0,7178,"{""empty_text"": 14, ""image_not_ocrable"": 2, ""no_text_layer"": 7162}",744374377,False,22021390336,85,50084,2,False,0,7280,match,True
2026-09-04T03:14:24Z,stalled,7068,2,42998,42998,0,7086,"{""empty_text"": 14, ""image_not_ocrable"": 2, ""no_text_layer"": 7070}",744646669,False,22020943872,85,50084,2,False,0,7188,match,True
2026-09-04T03:19:25Z,stalled,6976,2,43092,43092,0,6992,"{""empty_text"": 14, ""image_not_ocrable"": 2, ""no_text_layer"": 6976}",744856809,False,22021017600,86,50084,2,False,0,7094,match,True
2026-09-04T03:24:27Z,stalled,6874,2,43192,43192,0,6892,"{""empty_text"": 14, ""image_not_ocrable"": 2, ""no_text_layer"": 6876}",745075317,False,22020325376,86,50084,2,False,0,6994,match,True
2026-09-04T03:29:28Z,stalled,6770,2,43296,43296,0,6788,"{""empty_text"": 14, ""image_not_ocrable"": 2, ""no_text_layer"": 6772}",745339291,False,22019911680,86,50084,2,False,0,6890,match,True
2026-09-04T03:34:30Z,stalled,6668,2,43398,43398,0,6686,"{""empty_text"": 14, ""image_not_ocrable"": 2, ""no_text_layer"": 6670}",745531236,False,22019719168,86,50084,2,False,0,6788,match,True
2026-09-04T03:39:31Z,stalled,6566,2,43500,43500,0,6584,"{""empty_text"": 14, ""image_not_ocrable"": 2, ""no_text_layer"": 6568}",745756667,False,22019371008,86,50084,2,False,0,6686,match,True
2026-09-04T03:44:33Z,stalled,6464,2,43602,43602,0,6482,"{""empty_text"": 14, ""image_not_ocrable"": 2, ""no_text_layer"": 6466}",745986027,False,22019022848,87,50084,2,False,0,6584,match,True
2026-09-04T03:49:34Z,stalled,6362,2,43704,43704,0,6380,"{""empty_text"": 14, ""image_not_ocrable"": 2, ""no_text_layer"": 6364}",746190525,False,22018797568,87,50084,2,False,0,6482,match,True
2026-09-04T03:54:36Z,stalled,6264,2,43802,43802,0,6282,"{""empty_text"": 14, ""image_not_ocrable"": 2, ""no_text_layer"": 6266}",746414803,False,22018490368,87,50084,2,False,0,6384,match,True
2026-09-04T03:59:37Z,stalled,6178,2,43888,43888,0,6196,"{""empty_text"": 14, ""image_not_ocrable"": 2, ""no_text_layer"": 6180}",746635315,False,22018174976,87,50084,2,False,0,6298,match,True
2026-09-04T04:04:39Z,stalled,6086,2,43980,43980,0,6104,"{""empty_text"": 14, ""image_not_ocrable"": 2, ""no_text_layer"": 6088}",746908196,False,22017859584,87,50084,2,False,0,6206,match,True
2026-09-04T04:09:40Z,stalled,6000,2,44066,44066,0,6018,"{""empty_text"": 14, ""image_not_ocrable"": 2, ""no_text_layer"": 6002}",747105580,False,22008094720,87,50084,2,False,0,6120,match,True
2026-09-04T04:14:42Z,stalled,5912,2,44154,44154,0,5930,"{""empty_text"": 14, ""image_not_ocrable"": 2, ""no_text_layer"": 5914}",747321796,False,22017347584,88,50084,2,False,0,6032,match,True
2026-09-04T04:19:43Z,stalled,5812,2,44254,44254,0,5830,"{""empty_text"": 14, ""image_not_ocrable"": 2, ""no_text_layer"": 5814}",747576992,False,22016995328,88,50084,2,False,0,5932,match,True
2026-09-04T04:24:45Z,stalled,5710,2,44356,44356,0,5728,"{""empty_text"": 14, ""image_not_ocrable"": 2, ""no_text_layer"": 5712}",747808421,False,22016630784,88,50084,2,False,0,5830,match,True
2026-09-04T04:29:46Z,stalled,5608,2,44458,44458,0,5626,"{""empty_text"": 14, ""image_not_ocrable"": 2, ""no_text_layer"": 5610}",748035890,False,22016262144,88,50084,2,False,0,5728,match,True
2026-09-04T04:34:48Z,stalled,5514,2,44552,44552,0,5532,"{""empty_text"": 14, ""image_not_ocrable"": 2, ""no_text_layer"": 5516}",748256653,False,22016008192,88,50084,2,False,0,5634,match,True
2026-09-04T04:39:49Z,stalled,5440,2,44626,44626,0,5458,"{""empty_text"": 14, ""image_not_ocrable"": 2, ""no_text_layer"": 5442}",748488070,False,22015676416,89,50084,2,False,0,5560,match,True
2026-09-04T04:44:50Z,stalled,5340,2,44726,44726,0,5358,"{""empty_text"": 14, ""image_not_ocrable"": 2, ""no_text_layer"": 5342}",748673413,False,22015496192,89,50084,2,False,0,5460,match,True
2026-09-04T04:49:52Z,stalled,5240,2,44826,44826,0,5258,"{""empty_text"": 14, ""image_not_ocrable"": 2, ""no_text_layer"": 5242}",748915869,False,22015139840,89,50084,2,False,0,5360,match,True
2026-09-04T04:54:53Z,stalled,5138,2,44928,44928,0,5156,"{""empty_text"": 14, ""image_not_ocrable"": 2, ""no_text_layer"": 5140}",749152732,False,22014779392,89,50084,2,False,0,5258,match,True
2026-09-04T04:59:55Z,stalled,5064,2,45002,45002,0,5082,"{""empty_text"": 14, ""image_not_ocrable"": 2, ""no_text_layer"": 5066}",749378930,False,22014443520,89,50084,2,False,0,5184,match,True
2026-09-04T05:04:57Z,stalled,4964,2,45102,45102,0,4982,"{""empty_text"": 14, ""image_not_ocrable"": 2, ""no_text_layer"": 4966}",749630734,False,22012686336,90,50084,2,False,0,5084,match,True
2026-09-04T05:09:58Z,stalled,4868,2,45198,45198,0,4886,"{""empty_text"": 14, ""image_not_ocrable"": 2, ""no_text_layer"": 4870}",749845994,False,22013804544,90,50084,2,False,0,4988,match,True
2026-09-04T05:14:59Z,stalled,4766,2,45300,45300,0,4784,"{""empty_text"": 14, ""image_not_ocrable"": 2, ""no_text_layer"": 4768}",750028027,False,22013628416,90,50084,2,False,0,4886,match,True
2026-09-04T05:20:01Z,stalled,4664,2,45402,45402,0,4682,"{""empty_text"": 14, ""image_not_ocrable"": 2, ""no_text_layer"": 4666}",750271561,False,22013255680,90,50084,2,False,0,4784,match,True
2026-09-04T05:25:02Z,stalled,4564,2,45502,45502,0,4582,"{""empty_text"": 14, ""image_not_ocrable"": 2, ""no_text_layer"": 4566}",750508091,False,22012923904,90,50084,2,False,0,4684,match,True
