findling-rss timestamp,anon,file,slab,current,peak
findling-rss 1788598315,202334208,41467904,5162856,250589184,458264576
findling-rss 1788598320,202334208,41467904,5162856,250851328,458264576
findling-rss 1788598325,202334208,41467904,5162856,251113472,458264576
findling-rss 1788598330,345939968,44417024,5635232,398139392,458264576
findling-rss 1788598335,344907776,44417024,5653400,397426688,458264576
findling-rss 1788598341,214564864,43905024,5439184,265818112,458264576
findling-rss 1788598346,225095680,43905024,5444056,276180992,458264576
findling-rss 1788598351,172474368,44253184,5451424,223870976,458264576
findling-rss 1788598356,310202368,44265472,5649288,362627072,458264576
findling-rss 1788598361,343339008,44257280,5666960,395591680,458264576
findling-rss 1788598366,210862080,43937792,5548200,262340608,458264576
findling-rss 1788598371,215076864,43937792,5553200,266522624,458264576
findling-rss 1788598376,222068736,43937792,5558936,273739776,458264576
findling-rss 1788598381,226676736,43937792,5565016,278200320,458264576
findling-rss 1788598386,346120192,44294144,5703024,397328384,458264576
findling-rss 1788598391,357408768,44285952,5721240,409927680,458264576
findling-rss 1788598396,350679040,44318720,5718096,403255296,458264576
findling-rss 1788598401,270913536,44400640,5631192,323186688,458264576
findling-rss 1788598406,350744576,44412928,5770792,403427328,458264576
findling-rss 1788598411,350216192,44429312,5766336,402780160,458264576
findling-rss 1788598416,270913536,44109824,5661320,322564096,458264576
findling-rss 1788598421,349503488,44466176,5799680,402358272,458264576
findling-rss 1788598426,350392320,44494848,5810608,402845696,458264576
findling-rss 1788598431,270917632,44498944,5808960,352575488,458264576
findling-rss 1788598436,348020736,44351488,5736072,400191488,458264576
findling-rss 1788598441,350777344,44396544,5731856,403259392,458264576
findling-rss 1788598446,354521088,44392448,5765616,406974464,458264576
findling-rss 1788598451,326520832,44421120,5776632,379039744,458264576
findling-rss 1788598456,354115584,44445696,5772832,406867968,458264576
findling-rss 1788598461,353435648,44441600,5790616,406102016,458264576
findling-rss 1788598466,270917632,44482560,5715040,323215360,458264576
findling-rss 1788598471,350081024,44507136,5815808,402759680,458264576
findling-rss 1788598476,352092160,44498944,5834544,404516864,458264576
findling-rss 1788598481,350994432,44535808,5830744,403951616,458264576
findling-rss 1788598486,335298560,44400640,5760904,387747840,458264576
findling-rss 1788598491,354336768,44404736,5779280,406700032,458264576
findling-rss 1788598496,350728192,44433408,5775816,403210240,458264576
findling-rss 1788598501,309166080,44453888,5789136,361558016,458264576
findling-rss 1788598506,350720000,44462080,5823216,403320832,458264576
findling-rss 1788598511,351367168,44490752,5818800,404008960,458264576
findling-rss 1788598516,270995456,44507136,5724832,323125248,458264576
findling-rss 1788598521,349966336,44515328,5851400,402665472,458264576
findling-rss 1788598526,351150080,44535808,5862624,403734528,458264576
findling-rss 1788598531,350961664,44535808,5880408,403849216,458264576
findling-rss 1788598536,350482432,44572672,5894928,403394560,458264576
findling-rss 1788598541,351014912,44437504,5791720,403730432,458264576
findling-rss 1788598546,351174656,44429312,5824440,403779584,458264576
findling-rss 1788598551,335409152,44457984,5839392,388100096,458264576
findling-rss 1788598556,350437376,44490752,5835200,402845696,458264576
findling-rss 1788598561,350892032,44486656,5854096,403968000,458264576
findling-rss 1788598566,300969984,44519424,5882552,353038336,458264576
findling-rss 1788598571,350941184,44544000,5878752,403611648,458264576
findling-rss 1788598576,354578432,44548096,5896784,407486464,458264576
findling-rss 1788598581,271126528,44589056,5805072,323678208,458264576
findling-rss 1788598586,352899072,44605440,6016392,404885504,458264576
findling-rss 1788598591,350822400,44605440,5940672,403894272,458264576
findling-rss 1788598596,350961664,44462080,5838952,403660800,458264576
findling-rss 1788598601,348033024,44490752,5852840,400564224,458264576
findling-rss 1788598606,350625792,44503040,5871480,403558400,458264576
findling-rss 1788598611,352907264,44523520,5881776,405762048,458264576
findling-rss 1788598616,309301248,44548096,5897184,361967616,458264576
findling-rss 1788598621,353853440,44548096,5914400,406769664,458264576
