findling-rss timestamp,anon,file,slab,current,peak
findling-rss 1788599293,99020800,581632,3010968,103866368,140537856
findling-rss 1788599298,99020800,581632,3010968,103780352,140537856
findling-rss 1788599303,99901440,581632,3026048,104640512,140537856
findling-rss 1788599308,180187136,716800,3614800,185942016,186298368
findling-rss 1788599313,281038848,1073152,3852680,287739904,287739904
findling-rss 1788599318,312176640,1077248,3873264,318951424,319213568
findling-rss 1788599323,184487936,999424,3762968,191053824,320016384
findling-rss 1788599328,192200704,1556480,3785256,199073792,320016384
findling-rss 1788599333,330371072,1904640,3904368,338108416,338259968
findling-rss 1788599338,208183296,2224128,3819128,215826432,342671360
findling-rss 1788599344,208183296,2224128,3825000,215887872,342671360
findling-rss 1788599349,209444864,2793472,3847072,217759744,342671360
findling-rss 1788599354,332189696,3145728,3964544,341397504,342671360
findling-rss 1788599359,252788736,3440640,3880464,261877760,342671360
findling-rss 1788599364,191492096,4354048,4024528,201240576,342671360
findling-rss 1788599369,322453504,4362240,4150408,333049856,342671360
findling-rss 1788599374,324313088,4853760,4160664,335638528,342671360
findling-rss 1788599379,323907584,4845568,4178360,335138816,342671360
findling-rss 1788599384,309485568,4927488,4196480,320720896,344408064
findling-rss 1788599389,327303168,35565568,5033056,370139136,370139136
findling-rss 1788599394,326512640,35565568,5050840,369537024,370319360
findling-rss 1788599399,311775232,35655680,5065680,354746368,370556928
findling-rss 1788599404,326557696,35741696,5064184,369614848,377315328
findling-rss 1788599409,327852032,35745792,5082968,370700288,377315328
findling-rss 1788599414,247504896,35819520,4990336,290111488,377315328
findling-rss 1788599419,326942720,35987456,5093768,370302976,377315328
findling-rss 1788599424,331247616,35975168,5115576,374194176,378187776
findling-rss 1788599429,331124736,36012032,5108736,374231040,378187776
findling-rss 1788599434,311808000,36036608,5121064,355201024,378187776
findling-rss 1788599439,327364608,36032512,5138464,370790400,378187776
findling-rss 1788599444,330440704,35885056,5053976,373555200,378187776
findling-rss 1788599449,247926784,35921920,4959752,290734080,378187776
findling-rss 1788599454,326684672,35913728,5083584,369836032,378187776
findling-rss 1788599459,328495104,35950592,5077472,371642368,378187776
findling-rss 1788599464,328437760,35946496,5098848,371335168,379256832
findling-rss 1788599469,322084864,35975168,5111672,363896832,379256832
findling-rss 1788599474,327659520,36007936,5105400,370868224,379256832
findling-rss 1788599479,328040448,36003840,5123432,371294208,379256832
findling-rss 1788599484,286113792,36028416,5139328,329408512,379457536
findling-rss 1788599489,328318976,36065280,5132392,371634176,379457536
findling-rss 1788599494,327892992,36065280,5151608,371445760,379457536
findling-rss 1788599499,245673984,35905536,4975120,287133696,379457536
findling-rss 1788599504,326590464,35942400,5079144,369917952,379457536
findling-rss 1788599509,328286208,35938304,5096656,371568640,379457536
findling-rss 1788599514,328261632,35962880,5090272,371339264,379457536
findling-rss 1788599519,312635392,36003840,5102592,355721216,379457536
findling-rss 1788599524,328237056,35999744,5124584,371630080,379457536
findling-rss 1788599529,328388608,36024320,5118176,371871744,379457536
findling-rss 1788599534,282202112,36052992,5130288,322867200,379457536
findling-rss 1788599539,327753728,36052992,5147968,370987008,379457536
findling-rss 1788599544,327446528,36085760,5145424,370769920,379457536
findling-rss 1788599549,223326208,66899968,5978640,296697856,379457536
findling-rss 1788599554,328282112,35938304,5093680,371445760,379457536
findling-rss 1788599559,328581120,35966976,5087272,371912704,379457536
findling-rss 1788599564,329465856,35979264,5109616,372670464,380628992
findling-rss 1788599569,313081856,35995648,5120792,356429824,380628992
findling-rss 1788599574,328613888,36020224,5114544,371859456,380628992
findling-rss 1788599579,328278016,36028416,5133456,371802112,380628992
findling-rss 1788599584,304386048,36061184,5148352,347533312,380628992
findling-rss 1788599589,329646080,36081664,5145544,373215232,380628992
findling-rss 1788599594,329719808,36081664,5164232,373137408,380628992
findling-rss 1788599599,197988352,35758080,5058176,240484352,380628992
findling-rss 1788599604,327348224,35971072,5091464,370286592,380628992
findling-rss 1788599609,331165696,35962880,5109392,374513664,380628992
findling-rss 1788599614,331468800,35995648,5102728,374616064,380628992
findling-rss 1788599619,314691584,36020224,5115944,357818368,380628992
findling-rss 1788599624,333099008,36024320,5137840,376377344,380628992
findling-rss 1788599629,330526720,36057088,5131000,374063104,380628992
findling-rss 1788599634,250437632,36085760,5037408,293302272,380628992
findling-rss 1788599639,330358784,36089856,5158624,373538816,380628992
findling-rss 1788599644,329953280,36114432,5156488,373440512,380928000
findling-rss 1788599649,198393856,35790848,5066744,240881664,380928000
findling-rss 1788599654,329445376,36143104,5187232,372666368,380928000
findling-rss 1788599659,330022912,36012032,5097584,373268480,380928000
findling-rss 1788599664,330346496,35999744,5118352,373637120,381464576
findling-rss 1788599669,314806272,36032512,5130648,358096896,381464576
findling-rss 1788599674,330989568,36061184,5123904,374321152,381464576
findling-rss 1788599679,330883072,36061184,5142008,374341632,381464576
findling-rss 1788599684,250507264,36093952,5052504,293392384,381517824
findling-rss 1788599689,329842688,36118528,5152400,373071872,381517824
findling-rss 1788599694,329535488,36114432,5169960,373084160,381517824
findling-rss 1788599699,198443008,35799040,5060424,240848896,381517824
findling-rss 1788599704,329478144,36175872,5179648,372912128,381517824
findling-rss 1788599709,331108352,36179968,5197296,374853632,381517824
