word	chars	in_dutch	entry_in_list	tokens_without_splitter	tokens
gemeentebelastingen	19	1	0	gemeentebelast	gemeent,belast
belasting	9	1	1	belast	belast
gemeentebelasting	17	1	0	gemeentebelast	gemeent,belast
inkomstenbelasting	18	1	0	inkomstenbelast	inkomst,belast
waterschapsbelasting	20	1	0	waterschapsbelast	waterschap,belast
belastingaangifte	17	1	0	belastingaangift	belast,aangift
aangifte	8	1	1	aangift	aangift
huurovereenkomst	16	1	0	huurovereenkomst	hur,overeenkomst
overeenkomst	12	1	1	overeenkomst	overeenkomst
arbeidsovereenkomst	19	1	0	arbeidsovereenkomst	arbeid,overeenkomst
koopovereenkomst	16	1	0	koopovereenkomst	kop,overeenkomst
bestemmingsplan	15	1	0	bestemmingsplan	bestemm,plan
bestemming	10	1	1	bestemm	bestemm
omgevingsvergunning	19	1	0	omgevingsvergunn	omgev,vergunn
vergunning	10	1	1	vergunn	vergunn
parkeervergunning	17	1	0	parkeervergunn	parker,vergunn
zorgverzekering	15	1	0	zorgverzeker	zorg,verzeker
verzekering	11	1	1	verzeker	verzeker
ziektekostenverzekering	23	1	0	ziektekostenverzeker	ziektekost,verzeker
kinderopvangtoeslag	19	1	0	kinderopvangtoeslag	kinderopvang,toeslag
toeslag	7	1	1	toeslag	toeslag
gemeenteraadsvergadering	24	1	0	gemeenteraadsvergader	gemeenterad,vergader
vergadering	11	1	1	vergader	vergader
begrotingswijziging	19	1	0	begrotingswijz	begrot,wijzig
wijziging	9	1	1	wijzig	wijzig
afvalstoffenheffing	19	1	0	afvalstoffenheff	afvalstoff,heffing
heffing	7	1	1	heffing	heffing
subsidieaanvraag	16	1	0	subsidieaanvrag	subsidie,aanvrag
aanvraag	8	1	1	aanvrag	aanvrag
vergaderverslag	15	0	0	vergaderverslag	vergader,verslag
verslag	7	1	1	verslag	verslag
coördinatiecentrum	18	1	0	coordinatiecentrum	coordinatie,centrum
centrum	7	1	1	centrum	centrum
coordinatiecentrum	18	0	0	coordinatiecentrum	coordinatie,centrum
onroerendezaakbelasting	23	1	0	onroerendezaakbelast	onroer,zaakbelast
bouwvergunning	14	1	1	bouwvergunn	bouwvergunn
huurtoeslag	11	1	1	huurtoeslag	huurtoeslag
verkeersboete	13	1	1	verkeersboet	verkeersboet
boete	5	1	1	boet	boet
jaarrekening	12	1	1	jaarreken	jaarreken
rekening	8	1	1	reken	reken
factuurnummer	13	1	1	factuurnummer	factuurnummer
nummer	6	1	1	nummer	nummer
opzegtermijn	12	1	1	opzegtermijn	opzegtermijn
termijn	7	1	1	termijn	termijn
gemeente	8	1	1	gemeent	gemeent
onderwerp	9	1	1	onderwerp	onderwerp
beleid	6	1	1	beleid	beleid
afspraak	8	1	1	afsprak	afsprak
opdracht	8	1	1	opdracht	opdracht
handtekening	12	1	1	handteken	handteken
bijlage	7	1	1	bijlag	bijlag
voorwaarden	11	1	1	voorwaard	voorwaard
herinnering	11	1	1	herinner	herinner
betaling	8	1	1	betal	betal
verantwoordelijkheid	20	1	0	verantwoord	verantwoord
beschikbaarheid	15	1	0	beschik	beschik
vertegenwoordiger	17	1	0	vertegenwoordiger	vertegenwoordiger
gemeentelijke	13	1	1	gemeent	gemeent
ontwikkelingen	14	1	1	ontwikkel	ontwikkel
overeenkomsten	14	1	1	overeenkomst	overeenkomst
belastingplichtige	18	1	0	belastingplicht	belast,plichtig
aansprakelijkheid	17	1	0	aansprak	aansprak
verplichtingen	14	1	1	verplicht	verplicht
onderhandelingen	16	1	0	onderhandel	onderhandel
tegemoetkoming	14	1	1	tegemoetkom	tegemoetkom
burgemeester	12	1	1	burgemeester	burgemeester
wethouder	9	1	1	wethouder	wethouder
ondernemer	10	1	1	ondernemer	ondernemer
aanbesteding	12	1	1	aanbested	aanbested
openbaarheid	12	1	1	open	open
