word	chars	in_ngerman	entry_in_list	tokens
Grundstücksverkehrsgenehmigung	30	0	0	grundstuck,verkehr,genehm
Kündigungsfrist	15	1	0	kundig,frist
Sitzungsvorlage	15	0	0	sitzung,vorlag
Haushaltssatzung	16	0	0	haushalt,satzung
Jahresabschluss	15	1	0	jahr,abschluss
Betriebskostenabrechnung	24	0	0	betriebskost,abrechn
Krankenversicherung	19	1	0	krank,versicher
Rechnungsnummer	15	0	0	rechnung,numm
Datenschutzgrundverordnung	26	0	0	datenschutz,grund,verordn
Bundesausbildungsförderungsgesetz	33	1	0	bund,ausbild,forder,gesetz
Rindfleischetikettierungsüberwachungsaufgabenübertragungsgesetz	63	0	0	rindfleisch,etikettier,uberwach,aufgab,ubertrag,gesetz
Dampfschifffahrt	16	1	0	dampfschiff,fahrt
Aufenthaltserlaubnis	20	1	0	aufenthalt,erlaubnis
Gewerbeanmeldung	16	0	0	gewerb,anmeld
Mietvertrag	11	1	1	mietvertrag
Bebauungsplan	13	1	1	bebauungsplan
Baugenehmigung	14	1	1	baugenehm
Bauantrag	9	1	1	bauantrag
Baukosten	9	0	0	baukost
Arbeitsvertrag	14	1	1	arbeitsvertrag
Steuerbescheid	14	1	1	steuerbescheid
Information	11	1	1	information
Vertrag	7	1	1	vertrag
Rechnung	8	1	1	rechnung
Sitzung	7	1	1	sitzung
Kunde	5	1	1	kund
Formular	8	1	1	formular
Termin	6	1	1	termin
Ordnung	7	1	1	ordnung
Beamter	7	1	1	beamt
Genehmigung	11	1	1	genehm
Grundstuecksverkehrsgenehmigung	31	0	0	grundstuecksverkehrsgenehm
Pachtvereinbarung	17	0	0	pacht,vereinbar
Übermittlungsprotokoll	22	0	0	ubermittl,protokoll
Zahlungserinnerung	18	0	0	zahlung,erinner
Grundbuchsauszug	16	0	0	grundbuch,auszug
Ersatzabgabe	12	0	0	ersatz,abgab
Sperrmüllabfuhr	15	0	0	sperrmull,abfuhr
Rechtsmittelbelehrung	21	0	0	rechtsmittel,belehr
Vereinbarung	12	1	1	vereinbar
Protokoll	9	1	1	protokoll
Erinnerung	10	1	1	erinner
Auszug	6	1	1	auszug
Abgabe	6	1	1	abgab
Belehrung	9	1	1	belehr
Abfuhr	6	1	1	abfuhr
Verkehr	7	1	1	verkehr
Ubermittlungsprotokoll	22	0	0	ubermittlungsprotokoll
