findling-rss timestamp,anon,file,slab,current,peak
findling-rss 1788759351,728018944,21938176,3064224,755179520,755576832
findling-rss 1788759353,728018944,21938176,3064224,755441664,755703808
findling-rss 1788759355,728018944,21938176,3064224,755441664,755703808
findling-rss 1788759357,728018944,21938176,3064224,755441664,755703808
findling-rss 1788759359,1170784256,23461888,3541216,1201143808,1284292608
findling-rss 1788759361,1171120128,27541504,3565048,1205846016,1284292608
findling-rss 1788759363,1172295680,33890304,3603848,1213292544,1284292608
findling-rss 1788759365,1173843968,33890304,3630920,1214914560,1284292608
findling-rss 1788759367,1175269376,33890304,3659216,1216458752,1284292608
findling-rss 1788759369,1177399296,33890304,3660672,1218551808,1284292608
findling-rss 1788759371,1177395200,90255360,1462816,1273192448,1284292608
findling-rss 1788759373,1177686016,90398720,1462816,1273393152,1284292608
findling-rss 1788759375,1177788416,79036416,1502624,1262243840,1284292608
findling-rss 1788759377,1179529216,80662528,1536104,1265889280,1284292608
findling-rss 1788759379,1179873280,82309120,1565016,1267814400,1284292608
findling-rss summary samples=15 max_anon=1179873280 peak=1284292608 events=[low=0 high=0 max=0 oom=0 oom_kill=0 oom_group_kill=0 sock_throttled=0] oom_killed=false
