findling-rss timestamp,anon,file,slab,current,peak
findling-rss 1789956557,108417024,12038144,1469032,123076608,138416128
findling-rss 1789956559,108417024,12038144,1469032,123076608,138416128
findling-rss 1789956561,108417024,12038144,1469032,123076608,138416128
findling-rss 1789956563,108417024,12038144,1469032,122814464,138416128
findling-rss 1789956565,542412800,165502976,2032792,712183808,793546752
findling-rss 1789956567,543830016,165519360,2032792,713764864,793546752
findling-rss 1789956569,546344960,165519360,2082640,716627968,793546752
findling-rss 1789956571,547643392,165519360,2082640,717803520,793546752
findling-rss 1789956573,548814848,165519360,2109328,719093760,793546752
findling-rss 1789956575,552001536,165519360,2124936,722489344,793546752
findling-rss summary samples=10 max_anon=552001536 peak=793546752 events=[low=0 high=0 max=0 oom=0 oom_kill=0 oom_group_kill=0 sock_throttled=0] oom_killed=false
