kennzahl anfragen terms 10
kennzahl anfragen sprachfaelle 10
kennzahl anfragen stichprobe 40
kennzahl plan felder 8
kennzahl probe tiefe 100
kennzahl probe wiederholungen 5
anfrage 1 klasse mehrwort
anfrage 1 treffer summe 0
anfrage 1 spitze summe keine
anfrage 1 latenz_ms summe 0.5781
anfrage 1 treffer dismax_t00 0
anfrage 1 spitze dismax_t00 keine
anfrage 1 latenz_ms dismax_t00 0.5994
anfrage 1 treffer dismax_t01 0
anfrage 1 spitze dismax_t01 keine
anfrage 1 latenz_ms dismax_t01 0.5848
anfrage 1 treffer altplan 0
anfrage 1 spitze altplan keine
anfrage 1 latenz_ms altplan 0.2519
anfrage 1 overlap10_gegen_altplan summe 1.0000
anfrage 1 rbo10_gegen_altplan summe 1.0000
anfrage 1 rangverschiebung_gegen_altplan summe unbestimmt
anfrage 1 overlap10_gegen_altplan dismax_t00 1.0000
anfrage 1 rbo10_gegen_altplan dismax_t00 1.0000
anfrage 1 rangverschiebung_gegen_altplan dismax_t00 unbestimmt
anfrage 1 overlap10_gegen_altplan dismax_t01 1.0000
anfrage 1 rbo10_gegen_altplan dismax_t01 1.0000
anfrage 1 rangverschiebung_gegen_altplan dismax_t01 unbestimmt
anfrage 2 klasse einwort
anfrage 2 treffer summe 51031
anfrage 2 spitze summe 52288,8711,10586,29172,25258,26691,177,3577,28106,14438
anfrage 2 latenz_ms summe 3.5039
anfrage 2 treffer dismax_t00 51031
anfrage 2 spitze dismax_t00 52288,8711,10586,29172,25258,26691,177,3577,28106,14438
anfrage 2 latenz_ms dismax_t00 3.3791
anfrage 2 treffer dismax_t01 51031
anfrage 2 spitze dismax_t01 52288,8711,10586,29172,25258,26691,177,3577,28106,14438
anfrage 2 latenz_ms dismax_t01 3.3391
anfrage 2 treffer altplan 51031
anfrage 2 spitze altplan 52288,8711,10586,29172,25258,26691,177,3577,28106,14438
anfrage 2 latenz_ms altplan 3.2248
anfrage 2 overlap10_gegen_altplan summe 1.0000
anfrage 2 rbo10_gegen_altplan summe 1.0000
anfrage 2 rangverschiebung_gegen_altplan summe 0.0000
anfrage 2 overlap10_gegen_altplan dismax_t00 1.0000
anfrage 2 rbo10_gegen_altplan dismax_t00 1.0000
anfrage 2 rangverschiebung_gegen_altplan dismax_t00 0.0000
anfrage 2 overlap10_gegen_altplan dismax_t01 1.0000
anfrage 2 rbo10_gegen_altplan dismax_t01 1.0000
anfrage 2 rangverschiebung_gegen_altplan dismax_t01 0.0000
anfrage 3 klasse mehrwort
anfrage 3 treffer summe 0
anfrage 3 spitze summe keine
anfrage 3 latenz_ms summe 0.5866
anfrage 3 treffer dismax_t00 0
anfrage 3 spitze dismax_t00 keine
anfrage 3 latenz_ms dismax_t00 0.6017
anfrage 3 treffer dismax_t01 0
anfrage 3 spitze dismax_t01 keine
anfrage 3 latenz_ms dismax_t01 0.5989
anfrage 3 treffer altplan 0
anfrage 3 spitze altplan keine
anfrage 3 latenz_ms altplan 0.2436
anfrage 3 overlap10_gegen_altplan summe 1.0000
anfrage 3 rbo10_gegen_altplan summe 1.0000
anfrage 3 rangverschiebung_gegen_altplan summe unbestimmt
anfrage 3 overlap10_gegen_altplan dismax_t00 1.0000
anfrage 3 rbo10_gegen_altplan dismax_t00 1.0000
anfrage 3 rangverschiebung_gegen_altplan dismax_t00 unbestimmt
anfrage 3 overlap10_gegen_altplan dismax_t01 1.0000
