2026-09-26T05:38:31Z ntfy versucht, http=200, prio=default, titel=v1.3 Ablauf gestartet
2026-09-26T05:43:09Z ntfy versucht, http=200, prio=default, titel=v1.3 Befund m01
2026-09-26T05:50:26Z ntfy versucht, http=200, prio=default, titel=v1.3 Befund bodensatz
2026-09-26T05:50:26Z ntfy versucht, http=200, prio=default, titel=v1.3 Befund 99d
2026-09-26T06:17:30Z ntfy versucht, http=200, prio=high, titel=v1.3 Tor-Abbruch 58
2026-09-26T11:53:01Z ntfy versucht, http=200, prio=default, titel=v1.3 Wiedereinstieg ab PII
2026-09-26T12:00:24Z ntfy versucht, http=200, prio=high, titel=v1.3 Tor-Abbruch 59
2026-09-26T12:25:14Z ntfy versucht, http=200, prio=default, titel=v1.3 Wiedereinstieg ab PII
2026-09-26T12:30:26Z ntfy versucht, http=200, prio=high, titel=v1.3 Tor-Abbruch 59
2026-09-26T12:41:48Z ntfy versucht, http=200, prio=default, titel=v1.3 Wiedereinstieg ab PII
2026-09-26T12:42:21Z ntfy versucht, http=200, prio=default, titel=v1.3 Befund kaltstart-lasttest
2026-09-26T12:59:57Z ntfy versucht, http=200, prio=default, titel=v1.3 Befund b5
2026-09-26T13:06:26Z ntfy versucht, http=200, prio=default, titel=v1.3 Ablauf fertig
2026-09-26T13:34:39Z ntfy versucht, http=200, prio=default, titel=v1.3 B4 fertig
