findling-cpu epoch,usage_usec,box_total_jiffies,box_idle_jiffies,uptime_usec
findling-cpu 1790425516,323841,45113,38762,226790000
findling-cpu 1790425521,1627762,46110,39444,231800000
findling-cpu 1790425526,1634731,47109,40426,236810000
findling-cpu 1790425531,1702966,48108,41365,241820000
findling-cpu 1790425536,1714972,49108,42340,246840000
findling-cpu 1790425541,1781454,50107,43276,251850000
findling-cpu 1790425546,1788100,51108,44261,256860000
findling-cpu 1790425551,1860654,52109,45222,261880000
findling-cpu 1790425556,1866296,53110,46218,266890000
findling-cpu 1790425561,1933044,54109,47170,271900000
findling-cpu 1790425566,1944133,55109,48155,276910000
findling-cpu 1790425571,2010474,56106,49093,281930000
findling-cpu 1790425576,2016652,57108,50055,286940000
findling-cpu 1790425581,2088002,58107,51014,291950000
findling-cpu 1790425586,2094313,59107,52010,296970000
findling-cpu 1790425591,2160386,60107,52950,301980000
findling-cpu 1790425596,2165657,61107,53938,306990000
findling-cpu 1790425601,2231989,62106,54875,312000000
findling-cpu 1790425606,2237216,63108,55862,317020000
findling-cpu 1790425611,2307272,64108,56823,322030000
findling-cpu 1790425616,2311759,65108,57819,327040000
findling-cpu 1790425621,2377757,66108,58709,332050000
findling-cpu 1790425626,2397733,67106,59656,337070000
findling-cpu 1790425631,2465334,68106,60594,342080000
findling-cpu 1790425636,2470807,69105,61555,347090000
findling-cpu 1790425641,2542696,70107,62515,352110000
findling-cpu 1790425646,2548529,71107,63510,357120000
findling-cpu 1790425651,2614867,72107,64462,362130000
findling-cpu 1790425656,2620790,73108,65456,367140000
findling-cpu 1790425661,2662250,74107,66406,372160000
findling-cpu 1790425666,2692331,75109,67380,377170000
findling-cpu 1790425671,2697635,76110,68369,382180000
findling-cpu 1790425676,2768769,77110,69337,387200000
findling-cpu 1790425681,2774101,78109,70323,392210000
findling-cpu 1790425686,2840885,79111,71281,397220000
findling-cpu 1790425691,2846171,80110,72247,402240000
findling-cpu 1790425696,2911937,81111,73215,407250000
findling-cpu 1790425701,2917289,82113,74170,412260000
findling-cpu 1790425706,2988261,83114,75137,417270000
findling-cpu 1790425711,2993231,84114,76126,422290000
findling-cpu 1790425716,3059658,85114,77084,427300000
findling-cpu 1790425721,3065395,86113,78048,432310000
findling-cpu 1790425726,3131930,87115,79016,437330000
findling-cpu 1790425731,3137256,88115,79995,442340000
findling-cpu 1790425736,3208712,89115,80963,447350000
findling-cpu 1790425741,3214035,90116,81952,452360000
findling-cpu 1790425746,3293884,91117,82900,457380000
findling-cpu 1790425751,3299484,92116,83866,462390000
findling-cpu 1790425756,3366221,93115,84833,467400000
findling-cpu 1790425761,3371861,94115,85787,472420000
findling-cpu 1790425766,3442858,95115,86754,477430000
findling-cpu 1790425771,3447621,96116,87743,482440000
findling-cpu 1790425776,3513788,97116,88701,487450000
findling-cpu 1790425781,3519120,98117,89667,492470000
findling-cpu 1790425786,3585346,99117,90634,497480000
findling-cpu 1790425791,3591386,100117,91614,502490000
findling-cpu 1790425796,3662379,101118,92582,507500000
findling-cpu 1790425801,3667929,102118,93569,512520000
findling-cpu 1790425806,3736890,103117,94525,517530000
findling-cpu 1790425811,3741856,104118,95491,522540000
findling-cpu 1790425816,3807857,105117,96458,527560000
findling-cpu 1790425821,3822723,106118,97409,532570000
findling-cpu summary samples=62 mean_cores=0.011 max_cores=0.260 reason=signal
