findling-cpu epoch,usage_usec,box_total_jiffies,box_idle_jiffies,uptime_usec
findling-cpu 1790426538,2828013,40937,31996,205790000
findling-cpu 1790426543,2919872,41930,32587,210800000
findling-cpu 1790426548,2957064,42931,33578,215820000
findling-cpu 1790426553,2979616,43929,34512,220830000
findling-cpu 1790426558,2984687,44932,35508,225840000
findling-cpu 1790426563,2990366,45933,36496,230850000
findling-cpu 1790426568,2996455,46933,37491,235870000
findling-cpu 1790426573,3002459,47930,38313,240880000
findling-cpu 1790426578,4379854,48928,38766,245890000
findling-cpu 1790426583,6885911,49925,39166,250910000
findling-cpu summary samples=10 mean_cores=0.090 max_cores=0.499 reason=signal
