findling-cpu epoch,usage_usec,box_total_jiffies,box_idle_jiffies,uptime_usec
findling-cpu 1790426585,146425,50413,39348,253390000
findling-cpu 1790426590,4337256,51409,39623,258410000
findling-cpu 1790426595,9372773,52409,40032,263420000
findling-cpu 1790426600,14426098,53410,40518,268440000
findling-cpu 1790426605,19472589,54413,40997,273460000
findling-cpu 1790426610,24488008,55413,41463,278470000
findling-cpu 1790426615,29534076,56414,41941,283480000
findling-cpu 1790426620,34664725,57413,42392,288500000
findling-cpu 1790426625,39718090,58411,42870,293510000
findling-cpu 1790426630,44762569,59412,43355,298520000
findling-cpu 1790426635,50223617,60413,43777,303540000
findling-cpu 1790426640,55242064,61415,44216,308550000
findling-cpu 1790426645,60308255,62416,44692,313560000
findling-cpu 1790426650,65434397,63415,45143,318580000
findling-cpu 1790426655,70472322,64416,45594,323590000
findling-cpu 1790426661,75541533,65417,46080,328600000
findling-cpu 1790426666,80609744,66418,46516,333620000
findling-cpu 1790426671,85639202,67418,46942,338630000
findling-cpu 1790426676,91389669,68419,47307,343640000
findling-cpu 1790426681,96512642,69418,47761,348660000
findling-cpu 1790426686,101580989,70415,48238,353670000
findling-cpu 1790426691,106654506,71417,48724,358690000
findling-cpu 1790426696,111722657,72418,49202,363700000
findling-cpu 1790426701,116742935,73419,49665,368710000
findling-cpu 1790426706,121727047,74420,50145,373730000
findling-cpu 1790426711,126853090,75420,50556,378740000
findling-cpu 1790426716,132909565,76419,50775,383760000
findling-cpu 1790426721,137974540,77420,51262,388770000
findling-cpu 1790426726,143043050,78421,51740,393780000
findling-cpu 1790426731,148065491,79422,52203,398800000
findling-cpu 1790426736,153134970,80421,52679,403810000
findling-cpu 1790426741,158264009,81423,53132,408820000
findling-cpu 1790426746,163336000,82423,53609,413840000
findling-cpu 1790426751,168722433,83425,54065,418860000
findling-cpu 1790426756,174724314,84429,54261,423880000
findling-cpu 1790426761,179733163,85428,54723,428890000
findling-cpu 1790426766,184785375,86429,55200,433910000
findling-cpu 1790426771,189890813,87428,55651,438920000
findling-cpu 1790426776,194933644,88429,56070,443930000
findling-cpu 1790426781,199979752,89430,56543,448950000
findling-cpu 1790426786,205020861,90431,57022,453960000
findling-cpu 1790426791,210317535,91432,57456,458980000
findling-cpu 1790426796,216574040,92434,57588,464000000
