findling-cpu epoch,usage_usec,box_total_jiffies,box_idle_jiffies,uptime_usec
findling-cpu 1790427623,1667910,257304,120956,1291490000
findling-cpu 1790427628,1952056,258302,121808,1296500000
findling-cpu 1790427633,1957722,259302,122770,1301520000
findling-cpu 1790427638,1963485,260305,123765,1306530000
findling-cpu 1790427643,1974517,261304,124744,1311540000
findling-cpu 1790427648,1980163,262306,125739,1316550000
findling-cpu 1790427653,1984990,263306,126727,1321570000
findling-cpu 1790427658,1989854,264308,127722,1326580000
findling-cpu 1790427663,1995321,265307,128646,1331590000
findling-cpu 1790427669,1999372,266308,129642,1336610000
findling-cpu 1790427674,2010074,267309,130580,1341620000
findling-cpu 1790427679,2014328,268310,131576,1346630000
findling-cpu 1790427684,2019004,269310,132564,1351640000
findling-cpu 1790427689,2023857,270311,133559,1356660000
findling-cpu 1790427694,2028939,271310,134522,1361670000
findling-cpu 1790427699,2033833,272312,135518,1366680000
findling-cpu 1790427704,2038395,273311,136506,1371700000
findling-cpu 1790427709,2042609,274313,137502,1376710000
findling-cpu 1790427714,2046901,275314,138491,1381720000
findling-cpu 1790427719,2051710,276315,139487,1386740000
findling-cpu 1790427724,2056816,277314,140414,1391750000
findling-cpu 1790427729,2061690,278314,141410,1396760000
findling-cpu 1790427734,2080788,279315,142388,1401770000
findling-cpu 1790427739,2085400,280317,143376,1406790000
findling-cpu 1790427744,2090014,281318,144354,1411800000
findling-cpu 1790427749,2094950,282319,145343,1416810000
findling-cpu 1790427754,2100293,283314,146296,1421820000
findling-cpu 1790427759,2105047,284314,147281,1426840000
findling-cpu 1790427764,2109720,285315,148270,1431850000
findling-cpu 1790427769,2113639,286316,149266,1436860000
findling-cpu 1790427774,2118333,287317,150254,1441880000
findling-cpu 1790427779,2123044,288319,151250,1446890000
findling-cpu 1790427784,2128036,289319,152213,1451900000
findling-cpu 1790427789,2131570,290320,153208,1456920000
findling-cpu 1790427794,2135869,291321,154154,1461930000
findling-cpu 1790427799,2141039,292321,155115,1466940000
findling-cpu 1790427804,2145175,293322,156104,1471950000
findling-cpu 1790427809,2149047,294323,157100,1476970000
findling-cpu 1790427814,2153149,295323,158063,1481980000
findling-cpu 1790427819,2157987,296325,159059,1486990000
findling-cpu 1790427824,2162468,297327,160048,1492010000
findling-cpu 1790427829,2166886,298329,161044,1497020000
findling-cpu 1790427834,2170981,299329,162032,1502030000
findling-cpu 1790427839,2175830,300330,163028,1507050000
findling-cpu 1790427844,2179900,301329,163989,1512060000
findling-cpu 1790427849,2184858,302331,164986,1517070000
findling-cpu 1790427854,2202347,303331,165964,1522080000
findling-cpu 1790427859,2207850,304333,166925,1527100000
findling-cpu 1790427864,2213292,305333,167871,1532110000
findling-cpu 1790427869,2217192,306335,168868,1537120000
findling-cpu 1790427874,2221414,307334,169831,1542140000
findling-cpu 1790427879,2225769,308334,170790,1547150000
findling-cpu 1790427884,2230932,309332,171708,1552160000
findling-cpu 1790427889,2235559,310334,172703,1557170000
findling-cpu 1790427894,2240134,311333,173690,1562190000
findling-cpu 1790427899,2243839,312336,174685,1567200000
findling-cpu 1790427904,2248080,313335,175645,1572210000
findling-cpu 1790427909,2251979,314338,176641,1577230000
findling-cpu 1790427914,2257002,315338,177586,1582240000
findling-cpu 1790427919,2260997,316339,178547,1587250000
findling-cpu 1790427924,2318555,317335,179421,1592270000
findling-cpu 1790427929,2327458,318336,180411,1597280000
findling-cpu 1790427934,2332116,319335,181374,1602290000
findling-cpu 1790427939,2337346,320336,182370,1607310000
findling-cpu 1790427944,2342019,321337,183358,1612320000
findling-cpu 1790427949,2347197,322338,184354,1617330000
findling-cpu 1790427954,2351620,323340,185343,1622340000
findling-cpu 1790427959,2356904,324340,186338,1627360000
findling-cpu 1790427964,2361897,325340,187301,1632370000
findling-cpu 1790427969,2379550,326341,188283,1637380000
findling-cpu 1790427974,5122262,327332,188680,1642400000
findling-cpu 1790427979,5998750,328328,189142,1647420000
findling-cpu 1790427984,6958809,329316,189556,1652430000
findling-cpu summary samples=73 mean_cores=0.015 max_cores=0.546 reason=signal
