findling-cpu epoch,usage_usec,box_total_jiffies,box_idle_jiffies,uptime_usec
findling-cpu 1790401141,1684208,49047,40251,246260000
findling-cpu 1790401146,2283252,50042,40701,251270000
findling-cpu 1790401151,2861107,51040,41143,256280000
findling-cpu 1790401156,3139633,52038,41555,261300000
findling-cpu 1790401161,3440634,53038,41970,266310000
findling-cpu 1790401166,3880987,54037,42382,271320000
findling-cpu 1790401171,4053952,55040,43333,276340000
findling-cpu 1790401176,4080375,56038,44295,281360000
findling-cpu 1790401181,4085385,57040,45291,286370000
findling-cpu 1790401186,4623229,58041,46090,291390000
findling-cpu 1790401191,6288271,59043,46176,296410000
findling-cpu 1790401196,8369915,60041,46293,301430000
findling-cpu 1790401201,8376545,61041,47255,306440000
findling-cpu 1790401206,8403140,62041,48197,311460000
findling-cpu 1790401211,8407758,63042,49192,316470000
findling-cpu 1790401216,8412396,64043,50181,321480000
findling-cpu 1790401221,10390978,65043,50351,326490000
findling-cpu 1790401226,12050097,66046,50407,331510000
findling-cpu 1790401231,13940786,67047,50497,336530000
findling-cpu 1790401236,16069743,68049,50551,341560000
findling-cpu 1790401241,16142858,69051,51483,346570000
findling-cpu 1790401246,16148946,70052,52471,351580000
findling-cpu 1790401251,16167733,71054,53457,356600000
findling-cpu 1790401257,16172771,72055,54447,361610000
findling-cpu 1790401262,17900835,73056,54623,366630000
findling-cpu 1790401267,19910097,74061,54717,371660000
findling-cpu 1790401272,21334171,75063,54807,376670000
findling-cpu 1790401277,23217485,76065,54875,381750000
findling-cpu 1790401282,25374872,77079,54996,386770000
findling-cpu 1790401287,27519466,78080,55121,391780000
findling-cpu 1790401292,27526241,79081,56091,396800000
findling-cpu 1790401297,27531691,80080,57062,401810000
findling-cpu 1790401302,27537292,81081,58050,406820000
findling-cpu 1790401307,27542722,82083,59046,411830000
findling-cpu 1790401312,29578573,83089,59163,416870000
findling-cpu 1790401317,30999569,84149,59190,422180000
findling-cpu 1790401322,33650360,85153,59262,427200000
findling-cpu 1790401327,35227048,86157,59335,432220000
findling-cpu 1790401332,36854026,87160,59389,437250000
findling-cpu 1790401337,39460798,88243,59487,442670000
findling-cpu 1790401343,40930911,89247,59516,447690000
findling-cpu 1790401348,42333336,90246,60147,452710000
findling-cpu 1790401353,42338991,91247,61142,457720000
findling-cpu 1790401358,42344118,92246,62106,462740000
findling-cpu 1790401363,42348828,93248,63102,467750000
findling-cpu 1790401368,1502264,94247,63661,472760000
findling-cpu 1790401373,15281,95238,64091,477780000
findling-cpu 1790401378,2050179,96237,64400,482820000
findling-cpu 1790401383,1744411,97233,64666,487840000
findling-cpu summary samples=49 mean_cores=0.000 max_cores=0.528 reason=signal
