findling-cpu epoch,usage_usec,box_total_jiffies,box_idle_jiffies,uptime_usec
findling-cpu 1790401825,208393,185524,145165,930440000
findling-cpu 1790401830,1570353,186521,145487,935460000
findling-cpu 1790401835,1576379,187520,145936,940470000
findling-cpu 1790401840,1582003,188522,146377,945480000
findling-cpu 1790401845,1611283,189523,146846,950500000
findling-cpu 1790401850,1616854,190523,147330,955510000
findling-cpu 1790401855,1622222,191526,147816,960530000
findling-cpu 1790401860,1633177,192528,148302,965540000
findling-cpu 1790401865,1638896,193529,148784,970550000
findling-cpu 1790401870,1644185,194530,149258,975570000
findling-cpu 1790401875,1649659,195532,149737,980580000
findling-cpu 1790401880,1655212,196533,150231,985590000
findling-cpu 1790401886,1660657,197536,150718,990600000
findling-cpu 1790401891,1679551,198538,151202,995620000
findling-cpu 1790401896,1742349,199532,151569,1000630000
findling-cpu 1790401901,1792928,200528,152007,1005650000
findling-cpu 1790401906,1854944,201523,152452,1010670000
findling-cpu 1790401911,1916036,202521,152910,1015680000
findling-cpu 1790401916,1978363,203517,153362,1020700000
findling-cpu 1790401921,2029526,204512,153822,1025710000
findling-cpu 1790401926,2092265,205508,154268,1030730000
findling-cpu 1790401931,2153081,206504,154710,1035740000
findling-cpu 1790401936,2214722,207500,155163,1040760000
findling-cpu 1790401941,2264750,208498,155628,1045780000
findling-cpu 1790401946,2325963,209494,156079,1050790000
findling-cpu 1790401951,3713229,210490,156267,1055810000
findling-cpu 1790401956,5175238,211488,156290,1060840000
findling-cpu 1790401961,6016583,212485,156317,1065870000
findling-cpu 1790401966,8838797,213487,156335,1070900000
findling-cpu 1790401971,13718116,214491,156338,1075930000
findling-cpu 1790401976,18599579,215495,156342,1080960000
findling-cpu 1790401981,23574931,216499,156627,1085980000
findling-cpu 1790401986,28569136,217500,157060,1091000000
findling-cpu 1790401991,33565258,218501,157511,1096020000
findling-cpu 1790401996,38492814,219501,157930,1101030000
findling-cpu 1790402001,43522509,220502,158397,1106040000
findling-cpu 1790402006,48571381,221501,158857,1111060000
findling-cpu 1790402011,53572695,222502,159283,1116070000
findling-cpu 1790402016,58553028,223502,159664,1121090000
findling-cpu 1790402021,63566579,224504,160124,1126100000
findling-cpu 1790402026,68168776,225502,160538,1131120000
findling-cpu 1790402031,71925316,226498,160973,1136130000
findling-cpu 1790402036,76968943,227500,161440,1141150000
findling-cpu 1790402041,81981288,228500,161868,1146160000
findling-cpu 1790402046,87006351,229502,162290,1151180000
findling-cpu 1790402051,92034232,230504,162701,1156210000
findling-cpu 1790402056,97061649,231506,163125,1161220000
findling-cpu 1790402061,102045393,232506,163587,1166240000
findling-cpu 1790402066,107075748,233505,164046,1171250000
findling-cpu 1790402071,112111214,234507,164473,1176270000
findling-cpu 1790402076,117083955,235509,164906,1181290000
findling-cpu 1790402081,122066397,236509,165358,1186310000
findling-cpu 1790402086,127054584,237510,165780,1191320000
findling-cpu 1790402091,132163352,238512,166246,1196350000
findling-cpu 1790402096,137634437,239518,166639,1201390000
findling-cpu 1790402101,142696494,240519,167076,1206410000
findling-cpu 1790402106,147741161,241522,167498,1211430000
findling-cpu 1790402111,152767457,242523,167967,1216450000
findling-cpu 1790402116,157811139,243522,168428,1221460000
findling-cpu 1790402121,162814620,244522,168857,1226480000
findling-cpu 1790402126,167783792,245524,169315,1231490000
findling-cpu 1790402131,172782662,246522,169634,1236510000
findling-cpu 1790402136,177696627,247522,169986,1241520000
findling-cpu 1790402141,182707890,248523,170420,1246540000
findling-cpu 1790402146,187735512,249523,170852,1251550000
findling-cpu 1790402151,192767287,250523,171277,1256570000
findling-cpu 1790402156,198382647,251523,171653,1261580000
findling-cpu 1790402161,203425525,252523,172120,1266590000
findling-cpu 1790402167,208374718,253524,172522,1271610000
findling-cpu 1790402172,213418440,254524,172990,1276620000
findling-cpu 1790402177,218484162,255525,173447,1281640000
findling-cpu 1790402182,223516642,256525,173873,1286650000
findling-cpu 1790402187,228501397,257526,174333,1291660000
findling-cpu 1790402192,233541327,258526,174802,1296680000
findling-cpu 1790402197,238536259,259526,175197,1301690000
findling-cpu 1790402202,243565649,260530,175636,1306710000
findling-cpu 1790402207,248625967,261532,176098,1311730000
findling-cpu 1790402212,253653792,262532,176524,1316750000
findling-cpu 1790402217,258949733,263535,176960,1321770000
findling-cpu 1790402222,264228996,264536,177384,1326790000
findling-cpu 1790402227,269227657,265536,177778,1331810000
findling-cpu 1790402232,274267767,266536,178247,1336820000
findling-cpu 1790402237,279327676,267537,178707,1341830000
findling-cpu 1790402242,284319732,268538,179141,1346850000
findling-cpu 1790402247,289366017,269538,179602,1351860000
findling-cpu 1790402252,294359437,270540,180064,1356880000
findling-cpu 1790402257,299305784,271539,180421,1361890000
findling-cpu 1790402262,304331244,272539,180862,1366910000
findling-cpu 1790402267,309367216,273540,181324,1371920000
findling-cpu 1790402272,314401561,274542,181760,1376940000
findling-cpu 1790402277,319439981,275546,182218,1381970000
findling-cpu 1790402282,324889582,276553,182624,1387010000
findling-cpu 1790402287,329897515,277552,183061,1392030000
findling-cpu 1790402292,334930339,278553,183488,1397040000
findling-cpu 1790402297,339964788,279553,183956,1402050000
findling-cpu 1790402302,345033261,280554,184419,1407070000
findling-cpu 1790402307,350063917,281556,184838,1412080000
findling-cpu 1790402312,355049734,282556,185301,1417090000
findling-cpu 1790402317,360044816,283555,185743,1422110000
findling-cpu 1790402322,365013233,284555,186142,1427120000
findling-cpu 1790402327,370054151,285556,186602,1432130000
findling-cpu 1790402332,375084434,286557,187066,1437150000
findling-cpu 1790402337,380114226,287557,187482,1442170000
findling-cpu 1790402342,385624779,288559,187896,1447200000
findling-cpu 1790402347,390734296,289561,188293,1452220000
findling-cpu 1790402352,395751700,290560,188724,1457230000
findling-cpu 1790402357,400792867,291561,189185,1462250000
findling-cpu 1790402362,405854172,292561,189652,1467270000
findling-cpu 1790402367,410891345,293562,190071,1472280000
findling-cpu 1790402372,415930505,294563,190544,1477290000
findling-cpu 1790402377,420796886,295563,190940,1482310000
findling-cpu 1790402382,425784165,296563,191336,1487320000
findling-cpu 1790402387,430809140,297564,191804,1492340000
findling-cpu 1790402392,435849417,298564,192272,1497350000
findling-cpu 1790402397,440859732,299562,192691,1502360000
findling-cpu 1790402402,445895166,300563,193156,1507380000
findling-cpu 1790402407,451771838,301562,193471,1512390000
findling-cpu 1790402412,456771885,302563,193899,1517410000
findling-cpu 1790402417,461811297,303562,194359,1522420000
findling-cpu 1790402422,466850330,304564,194833,1527430000
findling-cpu 1790402427,471882038,305563,195247,1532450000
findling-cpu 1790402432,476924567,306565,195681,1537460000
findling-cpu 1790402437,481885531,307563,196112,1542470000
findling-cpu 1790402442,486886824,308562,196511,1547490000
findling-cpu 1790402447,491920750,309563,196937,1552500000
findling-cpu 1790402452,496964025,310563,197405,1557510000
findling-cpu 1790402457,501985215,311565,197828,1562530000
findling-cpu 1790402462,507033192,312566,198297,1567550000
findling-cpu 1790402467,512010519,313566,198735,1572560000
findling-cpu 1790402472,517572846,314566,199115,1577580000
findling-cpu 1790402478,522611952,315568,199550,1582600000
findling-cpu 1790402483,527652978,316570,200018,1587620000
findling-cpu 1790402488,532703519,317571,200479,1592630000
findling-cpu 1790402493,537708205,318571,200907,1597650000
findling-cpu 1790402498,542683713,319571,201307,1602660000
findling-cpu 1790402503,547665533,320569,201736,1607670000
findling-cpu 1790402508,552690735,321569,202154,1612690000
findling-cpu 1790402513,557733961,322570,202628,1617700000
findling-cpu 1790402518,562776041,323570,203089,1622710000
findling-cpu 1790402523,567792038,324569,203515,1627730000
findling-cpu 1790402528,572762765,325568,203954,1632740000
findling-cpu 1790402533,578194873,326570,204362,1637750000
findling-cpu 1790402538,583225706,327570,204781,1642770000
findling-cpu 1790402543,588268513,328571,205251,1647780000
findling-cpu 1790402548,593284808,329573,205718,1652800000
findling-cpu 1790402553,598225979,330576,206107,1657830000
findling-cpu 1790402558,603224240,331575,206543,1662840000
findling-cpu 1790402563,608169956,332577,206978,1667860000
findling-cpu 1790402568,613174144,333576,207399,1672870000
findling-cpu 1790402573,618217766,334577,207867,1677880000
findling-cpu 1790402578,623262802,335578,208327,1682900000
findling-cpu 1790402583,628285993,336579,208751,1687910000
findling-cpu 1790402588,633266335,337580,209194,1692930000
findling-cpu 1790402593,638302921,338579,209662,1697940000
findling-cpu 1790402598,643797160,339579,210013,1702950000
findling-cpu 1790402603,649307054,340580,210432,1707980000
findling-cpu 1790402608,654254514,341581,210875,1713000000
findling-cpu 1790402613,659455527,342582,211262,1718010000
findling-cpu 1790402618,664399311,343581,211655,1723020000
findling-cpu 1790402623,669702269,344580,212082,1728040000
findling-cpu 1790402628,674605652,345579,212469,1733050000
findling-cpu 1790402633,680423946,346579,212830,1738070000
findling-cpu 1790402638,685676308,347578,213246,1743080000
findling-cpu 1790402643,690660733,348581,213673,1748100000
findling-cpu 1790402648,695994179,349581,214053,1753120000
findling-cpu 1790402653,700983340,350581,214520,1758130000
findling-cpu 1790402658,706316902,351583,214932,1763160000
findling-cpu 1790402663,711734105,352584,215315,1768180000
findling-cpu 1790402668,716490695,353585,215764,1773200000
findling-cpu 1790402673,721943866,354586,216170,1778220000
findling-cpu 1790402678,726893900,355586,216569,1783230000
findling-cpu 1790402683,732373634,356586,216970,1788250000
findling-cpu 1790402688,737351695,357585,217395,1793260000
findling-cpu 1790402693,742733182,358585,217761,1798270000
findling-cpu 1790402698,748362209,359588,218156,1803300000
findling-cpu 1790402703,753290292,360587,218607,1808320000
findling-cpu 1790402708,758612992,361588,218943,1813340000
findling-cpu 1790402713,763600523,362588,219415,1818350000
findling-cpu 1790402718,768977692,363589,219820,1823370000
findling-cpu 1790402723,774040151,364591,220236,1828390000
findling-cpu 1790402728,779307782,365594,220647,1833430000
findling-cpu 1790402733,784761542,366598,221012,1838450000
findling-cpu 1790402738,789665542,367597,221362,1843460000
findling-cpu 1790402743,795111674,368597,221768,1848480000
findling-cpu 1790402748,800096673,369596,222231,1853490000
findling-cpu 1790402753,805429344,370597,222562,1858510000
findling-cpu 1790402758,810835945,371597,222929,1863520000
findling-cpu 1790402763,815824212,372598,223394,1868540000
findling-cpu 1790402768,820796662,373595,223737,1873550000
findling-cpu 1790402773,825790025,374595,224204,1878560000
findling-cpu 1790402778,831414620,375594,224585,1883580000
findling-cpu 1790402783,836386692,376597,225014,1888610000
findling-cpu 1790402789,841736707,377602,225430,1893630000
findling-cpu 1790402794,847067237,378601,225861,1898650000
findling-cpu 1790402799,851822765,379603,226259,1903670000
findling-cpu 1790402804,857131867,380604,226682,1908690000
findling-cpu 1790402809,862125105,381606,227148,1913700000
findling-cpu 1790402814,867509359,382606,227503,1918720000
findling-cpu 1790402819,872713833,383608,227909,1923740000
findling-cpu 1790402824,877880474,384609,228331,1928760000
findling-cpu 1790402829,883169954,385611,228697,1933780000
findling-cpu 1790402834,888159587,386613,229148,1938800000
findling-cpu 1790402839,893534065,387612,229564,1943820000
findling-cpu 1790402844,898519373,388616,230030,1948840000
findling-cpu 1790402849,903739706,389615,230410,1953860000
findling-cpu 1790402854,908994465,390613,230812,1958870000
findling-cpu 1790402859,913925878,391613,231222,1963890000
findling-cpu 1790402864,919254969,392612,231591,1968900000
findling-cpu 1790402869,924251075,393613,232057,1973910000
findling-cpu 1790402874,929878529,394611,232433,1978930000
findling-cpu 1790402879,935056254,395614,232810,1983950000
findling-cpu 1790402884,940139100,396615,233233,1988970000
findling-cpu 1790402889,945374972,397614,233636,1993990000
findling-cpu 1790402894,950348322,398616,234058,1999010000
findling-cpu 1790402899,955645660,399622,234488,2004040000
findling-cpu 1790402904,960624960,400621,234948,2009060000
findling-cpu 1790402909,965993917,401621,235311,2014070000
findling-cpu 1790402914,971197962,402621,235728,2019080000
findling-cpu 1790402919,976161664,403620,236173,2024100000
findling-cpu 1790402924,981262912,404620,236552,2029110000
findling-cpu 1790402929,986255888,405621,237018,2034120000
findling-cpu 1790402934,991871302,406620,237398,2039140000
findling-cpu 1790402939,996989119,407620,237737,2044160000
findling-cpu 1790402944,1002002224,408620,238164,2049180000
findling-cpu 1790402949,1007358407,409619,238550,2054190000
findling-cpu 1790402954,1012287183,410621,238974,2059210000
findling-cpu 1790402959,1017808552,411620,239373,2064220000
findling-cpu 1790402964,1022778328,412621,239835,2069240000
findling-cpu 1790402969,1028069206,413620,240214,2074250000
findling-cpu 1790402974,1033250476,414620,240628,2079260000
findling-cpu 1790402979,1038158561,415620,241033,2084280000
findling-cpu 1790402984,1043458899,416620,241408,2089290000
findling-cpu 1790402989,1048448846,417620,241875,2094300000
findling-cpu 1790402994,1053982545,418621,242259,2099320000
findling-cpu 1790402999,1058943497,419628,242672,2104360000
findling-cpu 1790403004,1064267937,420643,243069,2109440000
findling-cpu 1790403009,1069600820,421642,243462,2114460000
findling-cpu 1790403014,1074552420,422642,243880,2119470000
findling-cpu 1790403019,1079855037,423642,244297,2124490000
findling-cpu 1790403024,1084846146,424643,244758,2129500000
findling-cpu 1790403029,1090124548,425642,245135,2134520000
findling-cpu 1790403034,1095403647,426643,245487,2139530000
findling-cpu 1790403039,1100310454,427644,245937,2144550000
findling-cpu 1790403044,1105565232,428643,246353,2149570000
findling-cpu 1790403049,1110556000,429644,246777,2154580000
