findling-rss timestamp,anon,file,slab,current,peak
findling-rss 1790426538,546377728,220639232,2004608,770519040,831881216
findling-rss 1790426543,546512896,262881280,2038352,813776896,831881216
findling-rss 1790426548,548671488,263516160,2058120,816812032,831881216
findling-rss 1790426553,549195776,263516160,2040968,817360896,831881216
findling-rss 1790426558,549195776,263516160,2040968,817348608,831881216
findling-rss 1790426563,549195776,263516160,2040968,817102848,831881216
findling-rss 1790426568,549195776,263516160,2040968,817102848,831881216
findling-rss 1790426573,549195776,263516160,2040968,817364992,831881216
findling-rss 1790426578,549752832,270598144,2104288,825241600,831881216
findling-rss 1790426583,550109184,278274048,2156976,832860160,833122304
findling-rss summary samples=10 max_anon=550109184 peak=na events=[unreadable] oom_killed=false
