findling-rss timestamp,anon,file,slab,current,peak
findling-rss 1790426585,12820480,5705728,826976,19816448,20078592
findling-rss 1790426590,241307648,41734144,7034888,291733504,291733504
findling-rss 1790426595,278003712,60469248,7474456,347705344,347705344
findling-rss 1790426600,289783808,78766080,7908680,378372096,378372096
findling-rss 1790426605,290439168,95526912,8327760,396099584,396099584
findling-rss 1790426610,290463744,99528704,8449056,400134144,400134144
findling-rss 1790426615,290623488,116985856,8862584,418103296,418148352
findling-rss 1790426620,293535744,134868992,9312136,439644160,439644160
findling-rss 1790426625,293662720,152895488,9742488,458244096,458244096
findling-rss 1790426630,293732352,170508288,10165792,476258304,476258304
findling-rss 1790426635,300150784,187703296,10446480,499986432,614920192
findling-rss 1790426640,300359680,205750272,10890728,518873088,614920192
findling-rss 1790426645,300371968,223690752,11311440,537161728,614920192
findling-rss 1790426650,300453888,241754112,11741704,555925504,614920192
findling-rss 1790426655,300453888,245760000,11859336,559710208,614920192
findling-rss 1790426660,300511232,263667712,12286624,578224128,614920192
findling-rss 1790426665,300580864,281788416,12712792,596987904,614920192
findling-rss 1790426670,300597248,299012096,13126072,614481920,614920192
findling-rss 1790426675,300888064,315629568,13419384,631791616,847249408
findling-rss 1790426680,300949504,333508608,13845064,650117120,847249408
findling-rss 1790426685,300949504,351629312,14271104,668700672,847249408
findling-rss 1790426690,300949504,369233920,14690720,686850048,847249408
findling-rss 1790426695,300965888,387809280,15131864,705830912,847249408
findling-rss 1790426700,300965888,405237760,15546832,723435520,847249408
findling-rss 1790426705,300982272,410038272,15693664,727896064,847249408
findling-rss 1790426711,300986368,426651648,16078992,745525248,847249408
findling-rss 1790426716,302211072,443326464,16365936,763699200,1078489088
findling-rss 1790426721,302211072,461066240,16793304,782061568,1078489088
findling-rss 1790426726,302215168,478752768,17212544,800256000,1078489088
findling-rss 1790426731,302215168,496214016,17636176,818176000,1078489088
findling-rss 1790426736,302215168,513576960,18043464,835858432,1078489088
