findling-rss timestamp,anon,file,slab,current,peak
findling-rss 1790427623,139128832,23306240,3034072,166486016,166486016
findling-rss 1790427628,133398528,24035328,3193200,161841152,174612480
findling-rss 1790427633,133398528,24035328,3189288,161837056,174612480
findling-rss 1790427638,133398528,24035328,3189288,161837056,174612480
findling-rss 1790427643,133402624,24035328,3189288,161841152,174612480
findling-rss 1790427648,133402624,24035328,3189288,161841152,174612480
findling-rss 1790427653,133402624,24035328,3189288,161841152,174612480
findling-rss 1790427658,133402624,24035328,3189288,161579008,174612480
findling-rss 1790427663,133402624,24035328,3189288,161841152,174612480
findling-rss 1790427668,133402624,24035328,3189288,161841152,174612480
findling-rss 1790427673,133402624,24035328,3189288,161841152,174612480
findling-rss 1790427678,133402624,24035328,3189288,161579008,174612480
findling-rss 1790427683,133402624,24035328,3189288,161579008,174612480
findling-rss 1790427688,133402624,24035328,3188880,161579008,174612480
findling-rss 1790427694,133402624,24035328,3185648,161574912,174612480
findling-rss 1790427699,133402624,24035328,3185648,161837056,174612480
findling-rss 1790427704,133402624,24035328,3185648,161837056,174612480
findling-rss 1790427709,133402624,24035328,3185648,161837056,174612480
findling-rss 1790427714,133402624,24035328,3185648,161837056,174612480
findling-rss 1790427719,133402624,24035328,3185648,161837056,174612480
findling-rss 1790427724,133402624,24035328,3185648,161837056,174612480
findling-rss 1790427729,133402624,24035328,3185648,161837056,174612480
findling-rss 1790427734,135794688,24035328,3188608,164233216,174612480
findling-rss 1790427739,135794688,24035328,3188472,164233216,174612480
findling-rss 1790427744,135794688,24035328,3188472,164233216,174612480
findling-rss 1790427749,135794688,24035328,3188472,163971072,174612480
findling-rss 1790427754,135794688,24035328,3188472,164233216,174612480
findling-rss 1790427759,135794688,24035328,3188472,164233216,174612480
findling-rss 1790427764,135794688,24035328,3188472,164233216,174612480
findling-rss 1790427769,135794688,24035328,3188472,164233216,174612480
findling-rss 1790427774,135794688,24035328,3188472,164495360,174612480
findling-rss 1790427779,135794688,24035328,3185784,164229120,174612480
findling-rss 1790427784,135794688,24035328,3185648,163966976,174612480
findling-rss 1790427789,135794688,24035328,3185648,164229120,174612480
findling-rss 1790427794,135794688,24035328,3185648,164229120,174612480
findling-rss 1790427799,135794688,24035328,3185648,164229120,174612480
findling-rss 1790427804,135794688,24035328,3185648,164229120,174612480
findling-rss 1790427809,135794688,24035328,3185648,164229120,174612480
findling-rss 1790427814,135794688,24035328,3185648,163966976,174612480
findling-rss 1790427819,135794688,24035328,3185648,164229120,174612480
findling-rss 1790427824,135794688,24035328,3185648,164229120,174612480
findling-rss 1790427829,135794688,24035328,3185648,164229120,174612480
findling-rss 1790427834,135794688,24035328,3185648,164229120,174612480
findling-rss 1790427839,135794688,24035328,3185648,164229120,174612480
findling-rss 1790427844,135794688,24035328,3185648,164229120,174612480
findling-rss 1790427849,135794688,24035328,3185648,164229120,174612480
findling-rss 1790427854,136101888,24035328,3188608,164278272,174612480
findling-rss 1790427859,136101888,24035328,3188608,164540416,174612480
findling-rss 1790427864,136101888,24035328,3188608,164540416,174612480
findling-rss 1790427869,136101888,24035328,3188472,164540416,174612480
findling-rss 1790427874,136101888,24035328,3188472,164540416,174612480
findling-rss 1790427879,136101888,24035328,3188472,164278272,174612480
findling-rss 1790427884,136101888,24035328,3188472,164278272,174612480
findling-rss 1790427889,136101888,24035328,3188472,164278272,174612480
findling-rss 1790427894,136101888,24035328,3188472,164540416,174612480
findling-rss 1790427899,136105984,24035328,3185784,164540416,174612480
findling-rss 1790427904,136105984,24035328,3185648,164540416,174612480
findling-rss 1790427909,136105984,24035328,3185648,164540416,174612480
findling-rss 1790427914,136105984,24035328,3185648,164540416,174612480
findling-rss 1790427919,136105984,24035328,3185648,164540416,174612480
findling-rss 1790427924,136482816,24043520,3189368,164933632,174612480
findling-rss 1790427929,136482816,24043520,3189368,164937728,174612480
findling-rss 1790427934,136482816,24043520,3189368,164937728,174612480
findling-rss 1790427939,136482816,24043520,3189368,164937728,174612480
findling-rss 1790427944,136482816,24043520,3189368,164937728,174612480
findling-rss 1790427949,136482816,24043520,3189368,164937728,174612480
findling-rss 1790427954,136482816,24043520,3189368,164937728,174612480
findling-rss 1790427959,136482816,24043520,3189368,164937728,174612480
findling-rss 1790427964,136482816,24043520,3189368,165199872,174612480
findling-rss 1790427969,136482816,24043520,3189368,164933632,174612480
findling-rss 1790427974,299991040,38883328,4150784,345137152,363528192
findling-rss 1790427979,289738752,51372032,6523136,349298688,363528192
findling-rss 1790427984,292179968,54403072,6956968,355405824,363528192
findling-rss summary samples=73 max_anon=299991040 peak=363528192 events=[low=0 high=0 max=0 oom=0 oom_kill=0 oom_group_kill=0 sock_throttled=0] oom_killed=false
