findling-rss timestamp,anon,file,slab,current,peak
findling-rss 1790401141,116940800,671744,3086552,121659392,145604608
findling-rss 1790401146,150265856,11182080,3209656,166232064,207101952
findling-rss 1790401151,403378176,36241408,3363936,445009920,459288576
findling-rss 1790401156,536064000,60452864,4179416,603095040,603095040
findling-rss 1790401161,552660992,97857536,4297000,657186816,704544768
findling-rss 1790401166,554745856,131129344,4378672,692617216,704544768
findling-rss 1790401171,555454464,132485120,4393584,695087104,704544768
findling-rss 1790401176,556240896,132485120,4362696,695619584,704544768
findling-rss 1790401181,556240896,132485120,4362696,695574528,704544768
findling-rss 1790401186,556240896,132485120,4374016,695595008,780767232
findling-rss 1790401191,558452736,137072640,4436312,702844928,780767232
findling-rss 1790401196,559325184,137072640,4436312,703459328,780767232
findling-rss 1790401201,559325184,137072640,4436312,703434752,780767232
findling-rss 1790401206,559943680,137072640,4418016,703844352,780767232
findling-rss 1790401211,559943680,137072640,4418016,704307200,780767232
findling-rss 1790401216,559943680,137072640,4418016,704282624,780767232
findling-rss 1790401221,560304128,137072640,4456040,704622592,789401600
findling-rss 1790401226,560963584,137728000,4469416,705654784,789401600
findling-rss 1790401231,561094656,138252288,4474472,706510848,789401600
findling-rss 1790401236,561401856,138252288,4478384,706809856,789401600
findling-rss 1790401241,562692096,138252288,4479104,708128768,789401600
findling-rss 1790401246,562692096,138252288,4448760,708087808,789401600
findling-rss 1790401251,564404224,138252288,4450496,709771264,789401600
findling-rss 1790401256,564404224,138252288,4450496,710037504,789401600
findling-rss 1790401261,564297728,138252288,4448552,709754880,794918912
findling-rss 1790401266,565035008,138252288,4534872,710361088,794918912
findling-rss 1790401271,565145600,139026432,4539928,711458816,794918912
findling-rss 1790401276,565538816,139026432,4536016,711585792,794918912
findling-rss 1790401282,567136256,139681792,4522408,714330112,794918912
findling-rss 1790401287,567582720,139681792,4539832,714301440,794918912
findling-rss 1790401292,567582720,139681792,4539832,714547200,794918912
findling-rss 1790401297,567582720,139681792,4496800,714522624,794918912
findling-rss 1790401302,567582720,139681792,4493976,714252288,794918912
findling-rss 1790401307,567582720,139681792,4493840,714514432,794918912
findling-rss 1790401312,567480320,139681792,4480320,714379264,799645696
findling-rss 1790401317,567627776,134987776,4534592,709611520,799645696
findling-rss 1790401322,568061952,134987776,4534976,710180864,799645696
findling-rss 1790401327,568098816,134987776,4548320,710402048,799645696
findling-rss 1790401332,568127488,134987776,4548320,710397952,799645696
findling-rss 1790401337,568287232,134987776,4567184,710619136,799645696
findling-rss 1790401343,568299520,134987776,4563272,710365184,799645696
findling-rss 1790401348,568426496,134987776,4555792,710742016,799645696
findling-rss 1790401353,568426496,134987776,4504936,710742016,799645696
findling-rss 1790401358,568426496,134987776,4504936,710942720,799645696
findling-rss 1790401363,568426496,134987776,4504936,710922240,799645696
findling-rss 1790401368,109170688,1327104,605448,112226304,130650112
findling-rss 1790401373,10010624,3510272,581920,14794752,15056896
findling-rss 1790401378,300482560,47988736,999032,349454336,350240768
findling-rss 1790401383,114360320,65536,546000,116105216,166219776
findling-rss summary samples=49 max_anon=568426496 peak=832176128 events=[low=0 high=0 max=0 oom=0 oom_kill=0 oom_group_kill=0 sock_throttled=0] oom_killed=false
