findling-cpu epoch,usage_usec,box_total_jiffies,box_idle_jiffies,uptime_usec
findling-cpu 1790399435,3150238,118144,96962,592760000
findling-cpu 1790399440,3230763,119123,97499,597770000
findling-cpu 1790399445,3335346,120100,97738,602780000
findling-cpu 1790399450,3374109,121089,98194,607790000
findling-cpu 1790399455,3380213,122086,98694,612800000
findling-cpu 1790399460,3386071,123082,99174,617810000
findling-cpu 1790399465,3391758,124080,99664,622830000
findling-cpu 1790399470,3396314,125081,100154,627840000
findling-cpu 1790399475,3401373,126081,100629,632850000
findling-cpu 1790399480,3406381,127082,101121,637860000
findling-cpu 1790399485,3411436,128081,101618,642880000
findling-cpu 1790399490,3416249,129081,102082,647890000
findling-cpu 1790399495,3421355,130081,102578,652900000
findling-cpu 1790399500,3426569,131080,103070,657910000
findling-cpu 1790399505,3431365,132079,103543,662930000
findling-cpu 1790399510,3436239,133077,104034,667940000
findling-cpu 1790399515,3441118,134075,104528,672950000
findling-cpu 1790399520,3445576,135075,104999,677960000
findling-cpu 1790399525,3450436,136076,105493,682970000
findling-cpu 1790399530,3455555,137073,105983,687990000
findling-cpu 1790399535,3460104,138073,106468,693000000
findling-cpu 1790399540,3464711,139074,106961,698010000
findling-cpu 1790399545,3469468,140074,107456,703020000
findling-cpu 1790399550,3474435,141071,107912,708040000
findling-cpu 1790399555,3479364,142070,108407,713050000
findling-cpu 1790399560,3484167,143071,108900,718060000
findling-cpu 1790399565,3499739,144069,109369,723070000
findling-cpu 1790399570,3504981,145069,109861,728080000
findling-cpu 1790399575,3510436,146068,110357,733100000
findling-cpu 1790399580,3517767,147068,110847,738110000
findling-cpu 1790399585,3523120,148065,111344,743120000
findling-cpu 1790399590,3528295,149066,111832,748130000
findling-cpu 1790399595,3533955,150065,112314,753150000
findling-cpu 1790399600,3538981,151065,112807,758160000
findling-cpu 1790399605,3544056,152065,113301,763170000
findling-cpu 1790399610,3551517,153064,113790,768180000
findling-cpu 1790399615,3556824,154064,114227,773200000
findling-cpu summary samples=37 mean_cores=0.002 max_cores=0.021 reason=cgroup gone
