findling-rss timestamp,anon,file,slab,current,peak
findling-rss 1790399435,113672192,20127744,3310568,138141696,138539008
findling-rss 1790399440,113672192,20267008,3311016,138678272,138678272
findling-rss 1790399445,115691520,20287488,3314400,140464128,140521472
findling-rss 1790399450,115691520,17743872,3312160,137916416,140521472
findling-rss 1790399455,115691520,17743872,3312160,137916416,140521472
findling-rss 1790399460,115691520,17219584,3311824,137392128,140521472
findling-rss 1790399465,115691520,17219584,3309000,137125888,140521472
findling-rss 1790399470,115691520,17219584,3309000,137388032,140521472
findling-rss 1790399475,115691520,17219584,3309000,137388032,140521472
findling-rss 1790399480,115691520,16695296,3308552,136863744,140521472
findling-rss 1790399485,115691520,16695296,3308552,136863744,140521472
findling-rss 1790399490,115691520,16433152,3308328,136601600,140521472
findling-rss 1790399495,115691520,16433152,3308328,136601600,140521472
findling-rss 1790399500,115691520,16175104,3308104,136335360,140521472
findling-rss 1790399505,115691520,15912960,3305168,136073216,140521472
findling-rss 1790399510,115691520,15912960,3305168,135811072,140521472
findling-rss 1790399515,115691520,15912960,3305168,136073216,140521472
findling-rss 1790399520,115691520,15650816,3304832,135811072,140521472
findling-rss 1790399525,115691520,15650816,3304832,136073216,140521472
findling-rss 1790399530,115691520,15388672,3304832,135548928,140521472
findling-rss 1790399535,115691520,15101952,3304496,135262208,140521472
findling-rss 1790399540,115691520,14839808,3304384,135000064,140521472
findling-rss 1790399545,115691520,14839808,3304384,135000064,140521472
findling-rss 1790399550,115691520,14295040,3304048,134455296,140521472
findling-rss 1790399555,115691520,14295040,3304048,134717440,140521472
findling-rss 1790399560,115691520,14073856,3303936,134492160,140521472
findling-rss 1790399565,115695616,14073856,3306760,134504448,140521472
findling-rss 1790399570,115695616,14073856,3306760,134242304,140521472
findling-rss 1790399575,115695616,13856768,3306536,134025216,140521472
findling-rss 1790399580,115695616,13856768,3306536,134025216,140521472
findling-rss 1790399585,115695616,13856768,3306536,134025216,140521472
findling-rss 1790399590,115695616,13856768,3306536,133763072,140521472
findling-rss 1790399595,115695616,13643776,3306312,133812224,140521472
findling-rss 1790399600,115695616,13643776,3306312,133812224,140521472
findling-rss 1790399605,115695616,13643776,3306312,133812224,140521472
findling-rss 1790399610,115695616,13430784,3306200,133861376,140521472
findling-rss 1790399615,115695616,13221888,3306088,133390336,140521472
