findling-rss timestamp,anon,file,slab,current,peak
findling-rss 1789049109,108244992,39989248,5344328,154456064,168443904
findling-rss 1789049111,108244992,39989248,5344328,154718208,168443904
findling-rss 1789049113,108244992,39989248,5344328,154456064,168443904
findling-rss 1789049115,108244992,39989248,5344328,154718208,168443904
findling-rss 1789049117,541765632,198807552,6162472,748687360,831148032
findling-rss 1789049119,542060544,200785920,6166384,751394816,831148032
findling-rss 1789049121,545628160,203407360,6217416,757841920,831148032
findling-rss 1789049124,547090432,204718080,6230760,760639488,831148032
findling-rss 1789049126,547835904,204718080,6253920,761483264,831148032
findling-rss 1789049128,550813696,205045760,6277392,765014016,831148032
findling-rss summary samples=10 max_anon=550813696 peak=831148032 events=[low=0 high=0 max=0 oom=0 oom_kill=0 oom_group_kill=0 sock_throttled=0] oom_killed=false
