findling-rss timestamp,anon,file,slab,current,peak
findling-rss 1788947019,110342144,106643456,1583904,219394048,1396486144
findling-rss 1788947021,110342144,106643456,1583904,219656192,1396486144
findling-rss 1788947023,110342144,106643456,1583904,219656192,1396486144
findling-rss 1788947025,110342144,106643456,1583904,219656192,1396486144
findling-rss 1788947027,543404032,121413632,1700840,668708864,1396486144
findling-rss 1788947029,544571392,123174912,1717320,671682560,1396486144
findling-rss 1788947032,545808384,124923904,1731848,674979840,1396486144
findling-rss 1788947034,546803712,124923904,1741280,675934208,1396486144
findling-rss 1788947036,547557376,124923904,1755008,676528128,1396486144
findling-rss summary samples=9 max_anon=547557376 peak=1396486144 events=[low=0 high=0 max=0 oom=0 oom_kill=0 oom_group_kill=0 sock_throttled=0] oom_killed=false
